village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Badebadam,Bastar,414,449118,village,30,6.78,Solapur–Chennai Economic Corridor,558.95,Kumar Maranga,6.16,Amagura,19.68,Visakhapatnam Port,192.02,ICD Raipur,248.63,Petrapole ICP,829.81,Visakhapatnam International Airport (VTZ),189.66,MMLP Visakhapatnam,192.02,Muktyala Terminal,288.63,FCI Depot Visakhapatnam,192.02
Teetri,Bastar,414,449245,village,63,7.62,Solapur–Chennai Economic Corridor,522.61,Dabpal,12.91,Amagura,64.68,Visakhapatnam Port,230.17,ICD Raipur,240.5,Petrapole ICP,866.18,Visakhapatnam International Airport (VTZ),228.24,MMLP Visakhapatnam,230.17,Muktyala Terminal,268.22,FCI Depot Visakhapatnam,230.17
Burundwadasemra,Bastar,414,449071,village,63,0.25,Solapur–Chennai Economic Corridor,572.81,NAKTISEMRA,1.4,Amagura,7.15,Visakhapatnam Port,192.29,ICD Raipur,241.15,Petrapole ICP,815.86,Visakhapatnam International Airport (VTZ),189.72,MMLP Visakhapatnam,192.29,Muktyala Terminal,302.45,FCI Depot Visakhapatnam,192.29
Champal,Bastar,414,449093,village,30,11.59,Solapur–Chennai Economic Corridor,552.3,Topokal,20.03,Amagura,28.72,Visakhapatnam Port,180.85,ICD Raipur,263.26,Petrapole ICP,837.27,Visakhapatnam International Airport (VTZ),178.66,MMLP Visakhapatnam,180.85,Muktyala Terminal,277.65,FCI Depot Visakhapatnam,180.85
Kudhurwada,Bastar,414,449092,village,30,11.99,Solapur–Chennai Economic Corridor,551.82,Topokal,21.39,Amagura,29.74,Visakhapatnam Port,179.64,ICD Raipur,264.72,Petrapole ICP,837.86,Visakhapatnam International Airport (VTZ),177.47,MMLP Visakhapatnam,179.64,Muktyala Terminal,276.7,FCI Depot Visakhapatnam,179.64
Karkaguda,Bastar,414,449086,village,63,23.61,Solapur–Chennai Economic Corridor,566.19,AMAGURA,23.26,Amagura,23.26,Visakhapatnam Port,169.92,ICD Raipur,265.84,Petrapole ICP,824.17,Visakhapatnam International Airport (VTZ),167.53,MMLP Visakhapatnam,169.92,Muktyala Terminal,287.98,FCI Depot Visakhapatnam,169.92
Tamarwada,Bastar,414,449088,village,63,19.48,Solapur–Chennai Economic Corridor,563.07,NAKTISEMRA,18.63,Amagura,20.37,Visakhapatnam Port,176.8,ICD Raipur,260.82,Petrapole ICP,826.66,Visakhapatnam International Airport (VTZ),174.44,MMLP Visakhapatnam,176.8,Muktyala Terminal,287.21,FCI Depot Visakhapatnam,176.8
Gadaghat,Bastar,414,449083,village,63,17.23,Solapur–Chennai Economic Corridor,578.38,KOTAPAR ROAD,14.96,Amagura,17.92,Visakhapatnam Port,169.65,ICD Raipur,260.45,Petrapole ICP,811.83,Visakhapatnam International Airport (VTZ),167.05,MMLP Visakhapatnam,169.65,Muktyala Terminal,300.15,FCI Depot Visakhapatnam,169.65
Chor-Raas,Bastar,414,449082,village,63,15.78,Solapur–Chennai Economic Corridor,578.95,AMBAGAON,13.58,Amagura,16.6,Visakhapatnam Port,170.89,ICD Raipur,259.01,Petrapole ICP,811.14,Visakhapatnam International Airport (VTZ),168.28,MMLP Visakhapatnam,170.89,Muktyala Terminal,301.11,FCI Depot Visakhapatnam,170.89
Khidakhad,Bastar,414,449048,village,63,8.21,Solapur–Chennai Economic Corridor,578.01,AMAGURA,8.0,Amagura,8.0,Visakhapatnam Port,179.54,ICD Raipur,251.03,Petrapole ICP,811.34,Visakhapatnam International Airport (VTZ),176.92,MMLP Visakhapatnam,179.54,Muktyala Terminal,303.07,FCI Depot Visakhapatnam,179.54
Kerazodi,Bastar,414,449047,village,63,5.0,Solapur–Chennai Economic Corridor,579.64,AMAGURA,5.13,Amagura,5.13,Visakhapatnam Port,182.31,ICD Raipur,247.7,Petrapole ICP,809.51,Visakhapatnam International Airport (VTZ),179.66,MMLP Visakhapatnam,182.31,Muktyala Terminal,305.62,FCI Depot Visakhapatnam,182.31
