village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Viliena,SOUTH GOA,586,627008,village,KALEEM,15.08,ICD Mangalore (Panambur),255.76,Mormugao Port,55.01,Mangaluru International Airport (IXE),252.51,Rupaidiha ICP,1602.0
Velim,SOUTH GOA,586,626921,village,BALLI,5.5,ICD Mangalore (Panambur),263.26,Mormugao Port,34.5,Mangaluru International Airport (IXE),260.62,Rupaidiha ICP,1615.77
Bali,SOUTH GOA,586,626949,village,BALLI,0.53,ICD Mangalore (Panambur),261.58,Mormugao Port,37.71,Mangaluru International Airport (IXE),258.81,Rupaidiha ICP,1612.85
Adnem,SOUTH GOA,586,626948,village,BALLI,3.39,ICD Mangalore (Panambur),261.43,Mormugao Port,38.98,Mangaluru International Airport (IXE),258.6,Rupaidiha ICP,1610.91
Molcopona,SOUTH GOA,586,626945,village,SANVERDAM CHUCH,10.53,ICD Mangalore (Panambur),259.61,Mormugao Port,46.12,Mangaluru International Airport (IXE),256.56,Rupaidiha ICP,1605.0
Cumbari,SOUTH GOA,586,627007,village,SONALIUM,15.86,ICD Mangalore (Panambur),254.8,Mormugao Port,58.51,Mangaluru International Airport (IXE),251.47,Rupaidiha ICP,1600.28
Rivona,SOUTH GOA,586,627014,village,BALLI,8.67,ICD Mangalore (Panambur),258.14,Mormugao Port,44.07,Mangaluru International Airport (IXE),255.21,Rupaidiha ICP,1610.01
Undorna,SOUTH GOA,586,626944,village,SANVERDAM CHUCH,10.52,ICD Mangalore (Panambur),259.93,Mormugao Port,46.8,Mangaluru International Airport (IXE),256.85,Rupaidiha ICP,1603.79
Curdem,SOUTH GOA,586,627012,village,SANVERDAM CHUCH,13.54,ICD Mangalore (Panambur),257.39,Mormugao Port,49.97,Mangaluru International Airport (IXE),254.26,Rupaidiha ICP,1604.43
Molcarnem,SOUTH GOA,586,626946,village,SANVERDAM CHUCH,9.04,ICD Mangalore (Panambur),261.05,Mormugao Port,43.72,Mangaluru International Airport (IXE),258.04,Rupaidiha ICP,1605.33
Cavelossim,SOUTH GOA,586,626920,village,BALLI,8.1,ICD Mangalore (Panambur),266.11,Mormugao Port,31.44,Mangaluru International Airport (IXE),263.49,Rupaidiha ICP,1614.84
Zanodem,SOUTH GOA,586,626943,village,SANVERDAM CHUCH,8.01,ICD Mangalore (Panambur),262.19,Mormugao Port,44.2,Mangaluru International Airport (IXE),259.13,Rupaidiha ICP,1603.01
Bati,SOUTH GOA,586,627006,village,KALEEM,13.49,ICD Mangalore (Panambur),257.85,Mormugao Port,55.2,Mangaluru International Airport (IXE),254.56,Rupaidiha ICP,1598.98
Salauli,SOUTH GOA,586,627002,village,KALEEM,10.69,ICD Mangalore (Panambur),260.41,Mormugao Port,48.65,Mangaluru International Airport (IXE),257.25,Rupaidiha ICP,1601.27
Xelpem,SOUTH GOA,586,627001,village,SANVERDAM CHUCH,9.43,ICD Mangalore (Panambur),261.73,Mormugao Port,46.49,Mangaluru International Airport (IXE),258.61,Rupaidiha ICP,1601.43
Carmona,SOUTH GOA,586,626917,village,MADGAON,7.79,ICD Mangalore (Panambur),268.53,Mormugao Port,29.51,Mangaluru International Airport (IXE),265.88,Rupaidiha ICP,1611.69
Nagvem,SOUTH GOA,586,626942,village,SANVERDAM CHUCH,6.3,ICD Mangalore (Panambur),263.76,Mormugao Port,42.06,Mangaluru International Airport (IXE),260.73,Rupaidiha ICP,1602.84
Ambaulim,SOUTH GOA,586,626947,village,BALLI,5.81,ICD Mangalore (Panambur),265.06,Mormugao Port,36.25,Mangaluru International Airport (IXE),262.21,Rupaidiha ICP,1607.56
