village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
TIHMO,YAMUNANAGAR,71,58246,village,YAMUNANAGAR JAGADHARI,24.67,Naultha,119.17,Dahej Port,1052.05,ICD Baddi,95.85,Attari ICP,283.39,Indira Gandhi International Airport (DEL),192.7,MMLP Sangrur,152.34,Varanasi Multi-Modal Terminal,761.63,FCI Depot Dehradun,55.46
NAI DABWALI,SIRSA,79,60531,village,MANDI DABWALI,5.42,Bhattu,82.58,Deendayal Port (Kandla),871.64,ICD Ludhiana,148.39,Attari ICP,128.44,Sri Guru Ram Dass Jee International Airport (ATQ),194.09,MMLP Sangrur,109.38,Varanasi Multi-Modal Terminal,942.99,FCI Depot Bathinda,35.34
RAULAHERI,AMBALA,70,57585,village,BARARA,10.0,Naultha,108.17,Deendayal Port (Kandla),1035.83,ICD Baddi,78.04,Attari ICP,250.98,Indira Gandhi International Airport (DEL),189.76,MMLP Sangrur,117.87,Varanasi Multi-Modal Terminal,786.7,FCI Depot Patiala,66.47
NARAYANGARH,KURUKSHETRA,72,58600,village,DHOLA MAZRA,9.12,Naultha,86.27,Deendayal Port (Kandla),1011.97,ICD Baddi,94.57,Attari ICP,247.5,Indira Gandhi International Airport (DEL),169.89,MMLP Sangrur,105.84,Varanasi Multi-Modal Terminal,782.82,FCI Depot Karnal,46.19
CHAK NALVI PAR,KARNAL,74,59204,village,KARNAL,15.18,Naultha,45.26,Dahej Port,978.18,ICD Loni,102.23,Attari ICP,285.87,Indira Gandhi International Airport (DEL),122.35,MMLP Sangrur,136.51,Varanasi Multi-Modal Terminal,739.75,FCI Depot Karnal,13.12
Bir Bhartauli,KURUKSHETRA,72,58654,village,MUSTAFABAD,12.01,Naultha,85.71,Dahej Port,1014.8,ICD Baddi,98.31,Attari ICP,257.01,Indira Gandhi International Airport (DEL),167.56,MMLP Sangrur,115.72,Varanasi Multi-Modal Terminal,774.28,FCI Depot Karnal,44.62
KANHRI KALAN,YAMUNANAGAR,71,57710,village,DARAZPUR,2.71,Naultha,97.49,Dahej Port,1028.56,ICD Baddi,93.66,Attari ICP,264.44,Indira Gandhi International Airport (DEL),176.8,MMLP Sangrur,127.12,Varanasi Multi-Modal Terminal,771.09,FCI Depot Karnal,56.39
SUJRI,KURUKSHETRA,72,58619,village,DHOLA MAZRA,8.79,Naultha,84.23,Dahej Port,1009.82,ICD Baddi,96.39,Attari ICP,247.57,Indira Gandhi International Airport (DEL),167.99,MMLP Sangrur,105.21,Varanasi Multi-Modal Terminal,782.23,FCI Depot Karnal,44.3
BHULKHERI,YAMUNANAGAR,71,58173,village,KALANOUR,17.76,Naultha,111.64,Dahej Port,1044.55,ICD Baddi,100.27,Attari ICP,283.84,Indira Gandhi International Airport (DEL),185.09,MMLP Sangrur,150.12,Varanasi Multi-Modal Terminal,758.05,FCI Depot Dehradun,58.38
CHILLEWAL,FATEHABAD,78,60368,village,HIMMATPURA,6.25,Chajli,33.72,Deendayal Port (Kandla),910.4,ICD Ludhiana,127.56,Attari ICP,187.89,Indira Gandhi International Airport (DEL),179.17,MMLP Sangrur,54.99,Varanasi Multi-Modal Terminal,846.24,FCI Depot Sangrur,54.99
SALEMPUR,KURUKSHETRA,72,58697,village,SHAHBAD MARKNDA,6.87,Naultha,93.68,Deendayal Port (Kandla),1016.56,ICD Baddi,86.92,Attari ICP,242.86,Indira Gandhi International Airport (DEL),177.49,MMLP Sangrur,103.56,Varanasi Multi-Modal Terminal,788.85,FCI Depot Karnal,53.8
KHURDBAN,YAMUNANAGAR,71,57796,village,DARAZPUR,18.83,Naultha,76.83,Dahej Port,1008.43,ICD Baddi,110.81,Attari ICP,268.47,Indira Gandhi International Airport (DEL),156.59,MMLP Sangrur,124.9,Varanasi Multi-Modal Terminal,761.6,FCI Depot Karnal,35.81
MANGAULI JATTAN,KURUKSHETRA,72,58608,village,BARARA,8.82,Naultha,89.98,Dahej Port,1018.18,ICD Baddi,93.46,Attari ICP,253.59,Indira Gandhi International Airport (DEL),172.21,MMLP Sangrur,113.59,Varanasi Multi-Modal Terminal,778.49,FCI Depot Karnal,49.02
DUBAL,KAITHAL,73,58889,village,Sajuma,6.58,Chajli,51.4,Deendayal Port (Kandla),937.38,ICD Ludhiana,131.29,Attari ICP,214.29,Indira Gandhi International Airport (DEL),154.24,MMLP Sangrur,64.94,Varanasi Multi-Modal Terminal,812.72,FCI Depot Kaithal,17.17
SHAHIDANWALI,SIRSA,79,60673,village,Sirsa,8.32,Bhattu,34.07,Deendayal Port (Kandla),841.87,ICD Ludhiana,176.05,Attari ICP,182.6,Indira Gandhi International Airport (DEL),225.03,MMLP Sangrur,116.29,Varanasi Multi-Modal Terminal,897.07,FCI Depot Bathinda,81.03
SAMALKA,KURUKSHETRA,72,58673,village,MUSTAFABAD,18.94,Naultha,77.87,Dahej Port,1008.18,ICD Baddi,106.89,Attari ICP,262.46,Indira Gandhi International Airport (DEL),159.14,MMLP Sangrur,119.03,Varanasi Multi-Modal Terminal,767.39,FCI Depot Karnal,36.67
BAZIDPUR,KURUKSHETRA,72,58532,village,KURUKSHETRA JN,5.04,Naultha,73.03,Dahej Port,998.31,ICD Baddi,106.95,Attari ICP,249.71,Indira Gandhi International Airport (DEL),157.35,MMLP Sangrur,104.05,Varanasi Multi-Modal Terminal,777.85,FCI Depot Karnal,34.02
KALRA JAGIR,KARNAL,74,59076,village,JAGADHRI WORKSHOP,21.74,Naultha,73.8,Dahej Port,1005.69,ICD Baddi,114.11,Attari ICP,270.4,Indira Gandhi International Airport (DEL),153.28,MMLP Sangrur,126.09,Varanasi Multi-Modal Terminal,759.11,FCI Depot Karnal,32.92
HARIPUR KAMBO,YAMUNANAGAR,71,57869,village,JAGADHRI WORKSHOP,4.63,Naultha,91.15,Dahej Port,1023.55,ICD Baddi,104.17,Attari ICP,273.54,Indira Gandhi International Airport (DEL),168.38,MMLP Sangrur,133.94,Varanasi Multi-Modal Terminal,760.68,FCI Depot Karnal,50.73
SHAHPUR,YAMUNANAGAR,71,57660,village,JAGADHRI WORKSHOP,9.59,Naultha,104.82,Dahej Port,1037.02,ICD Baddi,94.41,Attari ICP,272.22,Indira Gandhi International Airport (DEL),181.77,MMLP Sangrur,137.1,Varanasi Multi-Modal Terminal,766.46,FCI Depot Karnal,64.22
PANIHARI,SIRSA,79,60646,village,Bajekan,13.93,Bhattu,33.65,Deendayal Port (Kandla),865.65,ICD Ludhiana,152.64,Attari ICP,167.84,Indira Gandhi International Airport (DEL),221.7,MMLP Sangrur,92.7,Varanasi Multi-Modal Terminal,893.94,FCI Depot Bathinda,64.76
BICHPURI,AMBALA,70,57499,village,MOHRI,7.49,Chajli,93.82,Deendayal Port (Kandla),1011.8,ICD Baddi,79.01,Attari ICP,226.23,Indira Gandhi International Airport (DEL),186.27,MMLP Sangrur,88.18,Varanasi Multi-Modal Terminal,804.81,FCI Depot Patiala,38.41
UDEYPUR,JIND,77,60040,village,UCHANA,14.03,Bhattu,66.67,Deendayal Port (Kandla),899.66,ICD Garhi Harsaru,139.91,Attari ICP,227.37,Indira Gandhi International Airport (DEL),140.34,MMLP Sangrur,89.01,Varanasi Multi-Modal Terminal,809.69,FCI Depot Kaithal,52.93
TIBRI,YAMUNANAGAR,71,57983,village,MUSTAFABAD,24.47,Naultha,121.23,Dahej Port,1050.77,ICD Baddi,72.8,Attari ICP,257.25,Indira Gandhi International Airport (DEL),201.05,MMLP Sangrur,129.45,Varanasi Multi-Modal Terminal,786.48,FCI Depot Patiala,77.12
DAULATPUR,YAMUNANAGAR,71,800369,village,KALANOUR,2.44,Naultha,93.35,Dahej Port,1026.2,ICD Baddi,107.67,Attari ICP,279.96,Indira Gandhi International Airport (DEL),168.48,MMLP Sangrur,140.73,Varanasi Multi-Modal Terminal,755.26,FCI Depot Karnal,53.8
PAHARPUR,KAITHAL,73,58810,village,Kaithal,17.09,Chajli,47.84,Deendayal Port (Kandla),955.97,ICD Ludhiana,115.11,Attari ICP,206.11,Indira Gandhi International Airport (DEL),167.7,MMLP Sangrur,54.94,Varanasi Multi-Modal Terminal,818.91,FCI Depot Kaithal,16.02
JALERA,JIND,77,59984,village,DHAMTAN SAHIB,3.24,Chajli,44.64,Deendayal Port (Kandla),915.54,ICD Ludhiana,135.84,Attari ICP,205.11,Indira Gandhi International Airport (DEL),161.22,MMLP Sangrur,64.0,Varanasi Multi-Modal Terminal,826.95,FCI Depot Kaithal,42.2
DHANDAR,PANIPAT,75,59535,village,SAMALKHA,6.3,Naultha,12.35,Dahej Port,925.55,ICD Loni,60.22,Attari ICP,303.49,Indira Gandhi International Airport (DEL),73.51,MMLP Sangrur,152.93,Varanasi Multi-Modal Terminal,723.78,FCI Depot Panipat,19.2
MARUPUR,YAMUNANAGAR,71,57835,village,KALANOUR,8.79,Naultha,85.74,Dahej Port,1018.55,ICD Baddi,111.62,Attari ICP,278.82,Indira Gandhi International Airport (DEL),161.62,MMLP Sangrur,137.49,Varanasi Multi-Modal Terminal,754.1,FCI Depot Karnal,46.12
Chahal Majra,AMBALA,70,57621,village,TANDWAL,1.57,Naultha,99.43,Deendayal Port (Kandla),1024.76,ICD Baddi,83.0,Attari ICP,246.5,Indira Gandhi International Airport (DEL),182.31,MMLP Sangrur,109.73,Varanasi Multi-Modal Terminal,787.53,FCI Depot Karnal,58.82
KANHAKHERA,JIND,77,59989,village,DHARODI,4.08,Chajli,49.37,Deendayal Port (Kandla),914.28,ICD Ludhiana,140.06,Attari ICP,209.95,Indira Gandhi International Airport (DEL),156.39,MMLP Sangrur,68.48,Varanasi Multi-Modal Terminal,822.42,FCI Depot Kaithal,41.29
KATHWALA,YAMUNANAGAR,71,57896,village,JAGADHRI WORKSHOP,7.4,Naultha,102.58,Dahej Port,1034.46,ICD Baddi,93.83,Attari ICP,269.59,Indira Gandhi International Airport (DEL),180.32,MMLP Sangrur,133.84,Varanasi Multi-Modal Terminal,768.1,FCI Depot Karnal,61.77
NURPUR GUJRAN,PANIPAT,75,59572,village,DIWANA,5.76,Naultha,14.38,Dahej Port,940.57,ICD Loni,66.98,Attari ICP,302.28,Indira Gandhi International Airport (DEL),84.22,MMLP Sangrur,151.14,Varanasi Multi-Modal Terminal,723.22,FCI Depot Panipat,10.13
SAHABPURA,AMBALA,70,57497,village,MOHRI,4.62,Chajli,96.89,Deendayal Port (Kandla),1013.57,ICD Baddi,79.47,Attari ICP,229.37,Indira Gandhi International Airport (DEL),185.3,MMLP Sangrur,91.43,Varanasi Multi-Modal Terminal,802.05,FCI Depot Patiala,41.66
SUBA KHERA,SIRSA,79,60617,village,Sukhchain,4.62,Bhattu,48.72,Deendayal Port (Kandla),867.35,ICD Ludhiana,149.43,Attari ICP,154.87,Sri Guru Ram Dass Jee International Airport (ATQ),217.02,MMLP Sangrur,95.32,Varanasi Multi-Modal Terminal,909.17,FCI Depot Bathinda,52.32
DUBLI,AMBALA,70,57523,village,MOHRI,3.28,Naultha,101.35,Deendayal Port (Kandla),1019.27,ICD Baddi,78.59,Attari ICP,235.3,Indira Gandhi International Airport (DEL),185.7,MMLP Sangrur,98.57,Varanasi Multi-Modal Terminal,797.54,FCI Depot Patiala,48.24
GULARWALA,FATEHABAD,78,60369,village,Jamalpur Shaikhan,7.57,Chajli,37.65,Deendayal Port (Kandla),906.24,ICD Ludhiana,131.46,Attari ICP,189.87,Indira Gandhi International Airport (DEL),177.79,MMLP Sangrur,58.97,Varanasi Multi-Modal Terminal,845.72,FCI Depot Sangrur,58.97
Danda Kheri,JIND,77,60094,village,BARSOLA,5.05,Lahli,58.26,Deendayal Port (Kandla),903.88,ICD Loni,120.99,Attari ICP,245.72,Indira Gandhi International Airport (DEL),121.02,MMLP Sangrur,103.18,Varanasi Multi-Modal Terminal,789.69,FCI FSD Safidon,42.31
RAMGARH MAJRA,YAMUNANAGAR,71,58125,village,MUSTAFABAD,19.37,Naultha,115.27,Dahej Port,1045.99,ICD Baddi,80.65,Attari ICP,262.78,Indira Gandhi International Airport (DEL),194.14,MMLP Sangrur,132.14,Varanasi Multi-Modal Terminal,779.1,FCI Depot Karnal,74.15
