village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
MAHANDPUR,DAMOH,428,462285,village,KARHIYA BHADELI,7.97,Shivpur - Godawari Commodity Pvt. Ltd.,244.72,Dahej Port,737.96,ICD Gwalior,280.25,Rupaidiha ICP,513.75,Dr. Babasaheb Ambedkar International Airport (NAG),309.72,MMLP Nagpur (Sindi),363.11,Varanasi Multi-Modal Terminal,380.82,FCI FSD Niwari,139.75
KHIRIYA,DAMOH,428,462281,village,DAMOH,4.83,Shivpur - Godawari Commodity Pvt. Ltd.,244.26,Dahej Port,731.63,ICD Gwalior,282.27,Rupaidiha ICP,519.93,Dr. Babasaheb Ambedkar International Airport (NAG),304.36,MMLP Nagpur (Sindi),357.58,Varanasi Multi-Modal Terminal,387.46,FCI FSD Niwari,140.24
JHAGRI,DAMOH,428,462284,village,KARHIYA BHADELI,6.31,Shivpur - Godawari Commodity Pvt. Ltd.,246.73,Dahej Port,739.77,ICD Gwalior,281.81,Rupaidiha ICP,513.7,Dr. Babasaheb Ambedkar International Airport (NAG),309.34,MMLP Nagpur (Sindi),362.81,Varanasi Multi-Modal Terminal,379.17,FCI FSD Niwari,141.63
MAHUA KHEDA,DAMOH,428,462283,village,DAMOH,3.79,Shivpur - Godawari Commodity Pvt. Ltd.,245.98,Dahej Port,733.54,ICD Gwalior,283.45,Rupaidiha ICP,519.52,Dr. Babasaheb Ambedkar International Airport (NAG),304.32,MMLP Nagpur (Sindi),357.62,Varanasi Multi-Modal Terminal,385.67,FCI FSD Niwari,141.76
CHANDORA,DAMOH,428,462261,village,KARHIYA BHADELI,6.15,Shivpur - Godawari Commodity Pvt. Ltd.,247.88,Dahej Port,741.67,ICD Gwalior,282.35,Rupaidiha ICP,512.76,Dr. Babasaheb Ambedkar International Airport (NAG),309.96,MMLP Nagpur (Sindi),363.5,Varanasi Multi-Modal Terminal,377.31,FCI FSD Niwari,142.6
CHHAPRI KARANJU,DAMOH,428,462290,village,KARHIYA BHADELI,3.12,Shivpur - Godawari Commodity Pvt. Ltd.,251.21,Dahej Port,742.3,ICD Gwalior,285.9,Rupaidiha ICP,515.21,Dr. Babasaheb Ambedkar International Airport (NAG),307.11,MMLP Nagpur (Sindi),360.73,Varanasi Multi-Modal Terminal,377.14,FCI FSD Niwari,146.04
LAKSHMANDHAM,DAMOH,428,462286,village,KARHIYA BHADELI,6.7,Shivpur - Godawari Commodity Pvt. Ltd.,245.84,Dahej Port,737.16,ICD Gwalior,281.85,Rupaidiha ICP,515.63,Dr. Babasaheb Ambedkar International Airport (NAG),307.8,MMLP Nagpur (Sindi),361.2,Varanasi Multi-Modal Terminal,381.82,FCI FSD Niwari,141.06
MAANPURA,DAMOH,428,462289,village,KARHIYA BHADELI,5.46,Shivpur - Godawari Commodity Pvt. Ltd.,247.24,Dahej Port,736.77,ICD Gwalior,283.59,Rupaidiha ICP,517.32,Dr. Babasaheb Ambedkar International Airport (NAG),305.99,MMLP Nagpur (Sindi),359.4,Varanasi Multi-Modal Terminal,382.43,FCI FSD Niwari,142.6
KARAIYA RAKH,DAMOH,428,462288,village,KARHIYA BHADELI,4.57,Shivpur - Godawari Commodity Pvt. Ltd.,248.24,Dahej Port,739.7,ICD Gwalior,283.55,Rupaidiha ICP,515.16,Dr. Babasaheb Ambedkar International Airport (NAG),307.72,MMLP Nagpur (Sindi),361.22,Varanasi Multi-Modal Terminal,379.45,FCI FSD Niwari,143.24
RAIPUR,DAMOH,428,462287,village,KARHIYA BHADELI,5.42,Shivpur - Godawari Commodity Pvt. Ltd.,247.13,Dahej Port,738.04,ICD Gwalior,282.96,Rupaidiha ICP,515.88,Dr. Babasaheb Ambedkar International Airport (NAG),307.29,MMLP Nagpur (Sindi),360.74,Varanasi Multi-Modal Terminal,381.06,FCI FSD Niwari,142.3
ANWARI,DAMOH,428,462291,village,KARHIYA BHADELI,2.89,Shivpur - Godawari Commodity Pvt. Ltd.,249.87,Dahej Port,740.16,ICD Gwalior,285.23,Rupaidiha ICP,516.22,Dr. Babasaheb Ambedkar International Airport (NAG),306.44,MMLP Nagpur (Sindi),359.99,Varanasi Multi-Modal Terminal,379.22,FCI FSD Niwari,144.91
KARAIYA HAJARI,DAMOH,428,462295,village,KARHIYA BHADELI,0.75,Shivpur - Godawari Commodity Pvt. Ltd.,252.92,Dahej Port,740.16,ICD Gwalior,288.69,Rupaidiha ICP,519.07,Dr. Babasaheb Ambedkar International Airport (NAG),303.28,MMLP Nagpur (Sindi),356.88,Varanasi Multi-Modal Terminal,379.72,FCI FSD Niwari,148.15
BARKHERA,DAMOH,428,462293,village,KARHIYA BHADELI,2.08,Shivpur - Godawari Commodity Pvt. Ltd.,250.7,Dahej Port,740.46,ICD Gwalior,286.05,Rupaidiha ICP,516.67,Dr. Babasaheb Ambedkar International Airport (NAG),305.87,MMLP Nagpur (Sindi),359.44,Varanasi Multi-Modal Terminal,379.03,FCI FSD Niwari,145.75
KUWA KHEDA NAYAK,DAMOH,428,462256,village,KARHIYA BHADELI,9.78,Shivpur - Godawari Commodity Pvt. Ltd.,246.6,Dahej Port,744.23,ICD Gwalior,279.84,Rupaidiha ICP,508.82,Dr. Babasaheb Ambedkar International Airport (NAG),313.79,MMLP Nagpur (Sindi),367.36,Varanasi Multi-Modal Terminal,374.41,FCI FSD Niwari,140.91
SEMAR PATI,DAMOH,428,462257,village,KARHIYA BHADELI,8.41,Shivpur - Godawari Commodity Pvt. Ltd.,246.44,Dahej Port,742.47,ICD Gwalior,280.38,Rupaidiha ICP,510.56,Dr. Babasaheb Ambedkar International Airport (NAG),312.24,MMLP Nagpur (Sindi),365.77,Varanasi Multi-Modal Terminal,376.26,FCI FSD Niwari,140.96
KHAM KHEDA,DAMOH,428,462258,village,KARHIYA BHADELI,8.07,Shivpur - Godawari Commodity Pvt. Ltd.,247.55,Dahej Port,743.49,ICD Gwalior,281.23,Rupaidiha ICP,510.5,Dr. Babasaheb Ambedkar International Airport (NAG),312.07,MMLP Nagpur (Sindi),365.65,Varanasi Multi-Modal Terminal,375.33,FCI FSD Niwari,142.01
MAHUA KHEDA,DAMOH,428,462259,village,KARHIYA BHADELI,7.94,Shivpur - Godawari Commodity Pvt. Ltd.,248.61,Dahej Port,744.49,ICD Gwalior,282.04,Rupaidiha ICP,510.43,Dr. Babasaheb Ambedkar International Airport (NAG),311.95,MMLP Nagpur (Sindi),365.57,Varanasi Multi-Modal Terminal,374.41,FCI FSD Niwari,143.01
MADIYA KAMAL,DAMOH,428,462260,village,KARHIYA BHADELI,7.24,Shivpur - Godawari Commodity Pvt. Ltd.,246.42,Dahej Port,740.8,ICD Gwalior,281.03,Rupaidiha ICP,512.31,Dr. Babasaheb Ambedkar International Airport (NAG),310.66,MMLP Nagpur (Sindi),364.15,Varanasi Multi-Modal Terminal,378.03,FCI FSD Niwari,141.15
DEORI KISHUNDAS,DAMOH,428,462305,village,ASLANA,6.27,Shivpur - Godawari Commodity Pvt. Ltd.,245.5,Dahej Port,725.83,ICD Gwalior,285.9,Rupaidiha ICP,526.93,Dr. Babasaheb Ambedkar International Airport (NAG),297.99,MMLP Nagpur (Sindi),351.06,Varanasi Multi-Modal Terminal,393.79,FCI FSD Niwari,142.57
HATHNA,DAMOH,428,462304,village,DAMOH,7.05,Shivpur - Godawari Commodity Pvt. Ltd.,248.74,Dahej Port,726.57,ICD Gwalior,289.23,Rupaidiha ICP,529.11,Dr. Babasaheb Ambedkar International Airport (NAG),295.29,MMLP Nagpur (Sindi),348.45,Varanasi Multi-Modal Terminal,393.54,FCI FSD Niwari,145.9
KOUNRASA,DAMOH,428,462303,village,DAMOH,5.56,Shivpur - Godawari Commodity Pvt. Ltd.,247.79,Dahej Port,727.56,ICD Gwalior,287.79,Rupaidiha ICP,527.25,Dr. Babasaheb Ambedkar International Airport (NAG),297.13,MMLP Nagpur (Sindi),350.3,Varanasi Multi-Modal Terminal,392.32,FCI FSD Niwari,144.7
BARBANSA,DAMOH,428,462302,village,DAMOH,5.37,Shivpur - Godawari Commodity Pvt. Ltd.,246.02,Dahej Port,727.58,ICD Gwalior,285.81,Rupaidiha ICP,525.64,Dr. Babasaheb Ambedkar International Airport (NAG),298.97,MMLP Nagpur (Sindi),352.1,Varanasi Multi-Modal Terminal,392.01,FCI FSD Niwari,142.81
SIHORA,DAMOH,428,462307,village,ASLANA,6.99,Shivpur - Godawari Commodity Pvt. Ltd.,245.86,Dahej Port,723.89,ICD Gwalior,287.04,Rupaidiha ICP,529.19,Dr. Babasaheb Ambedkar International Airport (NAG),295.96,MMLP Nagpur (Sindi),348.98,Varanasi Multi-Modal Terminal,395.91,FCI FSD Niwari,143.32
EMALIYA LANGI,DAMOH,428,462310,village,ASLANA,10.34,Shivpur - Godawari Commodity Pvt. Ltd.,247.0,Dahej Port,720.21,ICD Gwalior,289.68,Rupaidiha ICP,533.85,Dr. Babasaheb Ambedkar International Airport (NAG),291.72,MMLP Nagpur (Sindi),344.65,Varanasi Multi-Modal Terminal,400.0,FCI FSD Niwari,145.26
