village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
,SOUTH WEST,97,,village,GHEVRA,10.38,Farukh Nagar,19.22,Dahej Port,868.37,ICD Garhi Harsaru,18.78,Attari ICP,352.79,Indira Gandhi International Airport (DEL),15.49,MMLP Sangrur,206.83,Varanasi Multi-Modal Terminal,687.67,FCI Depot Delhi (NCR),24.96
DHANSA,SOUTH WEST,97,064041,village,Farukhnagar,10.1,Farukh Nagar,10.1,Dahej Port,859.21,ICD Garhi Harsaru,14.95,Attari ICP,352.38,Indira Gandhi International Airport (DEL),22.56,MMLP Sangrur,207.97,Varanasi Multi-Modal Terminal,691.82,FCI Depot Delhi (NCR),33.7
ISSA PUR,SOUTH WEST,97,064020,village,Farukhnagar,11.8,Farukh Nagar,11.8,Dahej Port,860.61,ICD Garhi Harsaru,16.93,Attari ICP,350.48,Indira Gandhi International Airport (DEL),23.18,MMLP Sangrur,205.98,Varanasi Multi-Modal Terminal,693.26,FCI Depot Delhi (NCR),33.92
BAKARGARH,SOUTH WEST,97,064019,village,BAHADURGARH,12.57,Farukh Nagar,14.76,Dahej Port,863.77,ICD Garhi Harsaru,18.33,Attari ICP,349.83,Indira Gandhi International Airport (DEL),21.43,MMLP Sangrur,204.83,Varanasi Multi-Modal Terminal,692.65,FCI Depot Delhi (NCR),31.59
MUNDHELA KALAN,SOUTH WEST,97,064007,village,BAHADURGARH,11.08,Farukh Nagar,16.26,Dahej Port,865.35,ICD Garhi Harsaru,19.11,Attari ICP,349.62,Indira Gandhi International Airport (DEL),20.57,MMLP Sangrur,204.37,Varanasi Multi-Modal Terminal,692.23,FCI Depot Delhi (NCR),30.38
MUNDHELA KHURD,SOUTH WEST,97,064006,village,BAHADURGARH,9.53,Farukh Nagar,17.8,Dahej Port,866.81,ICD Garhi Harsaru,20.63,Attari ICP,348.46,Indira Gandhi International Airport (DEL),20.89,MMLP Sangrur,203.04,Varanasi Multi-Modal Terminal,692.9,FCI Depot Delhi (NCR),30.22
,SOUTH WEST,97,,village,BAHADURGARH,5.79,Farukh Nagar,22.9,Dahej Port,872.16,ICD Garhi Harsaru,23.39,Attari ICP,348.99,Indira Gandhi International Airport (DEL),17.95,MMLP Sangrur,202.69,Varanasi Multi-Modal Terminal,690.28,FCI Depot Delhi (NCR),25.57
,WEST,96,,village,GHEVRA,3.51,Narela,22.36,Dahej Port,875.2,ICD Garhi Harsaru,25.24,Attari ICP,349.82,Indira Gandhi International Airport (DEL),16.49,MMLP Sangrur,203.03,Varanasi Multi-Modal Terminal,688.31,FCI Depot Delhi (NCR),22.7
,WEST,96,,village,GHEVRA,2.55,Narela,21.2,Dahej Port,876.49,ICD Garhi Harsaru,26.01,Attari ICP,350.56,Indira Gandhi International Airport (DEL),15.7,MMLP Sangrur,203.54,Varanasi Multi-Modal Terminal,687.08,FCI Depot Delhi (NCR),21.17
,WEST,96,,village,MUNDKA,5.59,Narela,23.71,Dahej Port,874.53,ICD Garhi Harsaru,23.25,Attari ICP,354.03,Indira Gandhi International Airport (DEL),12.24,MMLP Sangrur,207.1,Varanasi Multi-Modal Terminal,684.1,FCI Depot Delhi (NCR),18.97
