village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Cholamadevi,ARIYALUR,616,636393,village,36,4.77,716B,226.73,ADUTURAI,16.04,Uttangal Mangalam,44.91,Karaikal Port,53.72,ICD Salem,149.08,Petrapole ICP,1640.77,Tiruchirappalli International Airport (TRZ),86.15,MMLP Chennai (Mappedu),227.59,Aluva Terminal,354.43,FCI Depot Tiruchirappalli,85.36
ELAIYUR EAST,ARIYALUR,616,636380,village,81,3.83,716B,214.29,MATHUR,16.49,Uttangal Mangalam,34.67,Karaikal Port,66.02,ICD Salem,137.62,Petrapole ICP,1635.83,Tiruchirappalli International Airport (TRZ),85.93,MMLP Chennai (Mappedu),218.46,Aluva Terminal,351.01,FCI Depot Tiruchirappalli,84.7
KULUMUR,ARIYALUR,616,636312,village,136,16.54,716B,204.11,MATHUR,6.14,Uttangal Mangalam,38.29,Karaikal Port,87.59,ICD Salem,115.97,Petrapole ICP,1640.34,Tiruchirappalli International Airport (TRZ),77.93,MMLP Chennai (Mappedu),216.7,Aluva Terminal,335.91,FCI Depot Tiruchirappalli,76.11
ALAGAPURAM,ARIYALUR,616,636338,village,532,14.59,716B,199.74,ICHCHANGADU,11.5,Uttangal Mangalam,21.39,Karaikal Port,75.19,ICD Salem,132.64,Petrapole ICP,1624.42,Tiruchirappalli International Airport (TRZ),95.0,MMLP Chennai (Mappedu),204.75,Aluva Terminal,355.77,FCI Depot Tiruchirappalli,93.45
Keelakudiyiruppu,ARIYALUR,616,636366,village,81,3.64,716B,214.07,MATHUR,20.44,Uttangal Mangalam,32.79,Karaikal Port,62.31,ICD Salem,142.02,Petrapole ICP,1632.25,Tiruchirappalli International Airport (TRZ),90.42,MMLP Chennai (Mappedu),216.27,Aluva Terminal,355.97,FCI Depot Tiruchirappalli,89.26
Irumbilikurichi,ARIYALUR,616,636330,village,81,6.09,716B,218.37,SENDURAI,8.87,Uttangal Mangalam,44.65,Karaikal Port,75.25,ICD Salem,127.53,Petrapole ICP,1647.64,Tiruchirappalli International Airport (TRZ),72.55,MMLP Chennai (Mappedu),227.39,Aluva Terminal,337.01,FCI Depot Tiruchirappalli,71.19
Sirkalathur,ARIYALUR,616,636316,village,81,12.61,716B,208.21,MATHUR,5.49,Uttangal Mangalam,34.24,Karaikal Port,77.2,ICD Salem,126.52,Petrapole ICP,1637.43,Tiruchirappalli International Airport (TRZ),81.84,MMLP Chennai (Mappedu),216.58,Aluva Terminal,343.65,FCI Depot Tiruchirappalli,80.3
SANNAVUR (South),ARIYALUR,616,636501,village,81,4.49,716B,242.8,KALLAKKUDI PLGH,5.35,Uttangal Mangalam,78.03,Karaikal Port,92.98,ICD Salem,120.46,Petrapole ICP,1681.22,Tiruchirappalli International Airport (TRZ),38.94,MMLP Coimbatore,224.37,Aluva Terminal,306.73,FCI Depot Tiruchirappalli,37.84
Kodalikaruppur,ARIYALUR,616,636392,village,36,2.69,716B,227.36,NARASINGAMPET,14.32,Uttangal Mangalam,45.16,Karaikal Port,51.5,ICD Salem,151.32,Petrapole ICP,1639.68,Tiruchirappalli International Airport (TRZ),88.07,MMLP Chennai (Mappedu),227.33,Aluva Terminal,356.53,FCI Depot Tiruchirappalli,87.31
Karuppilakattalai,ARIYALUR,616,636485,village,81,5.4,716B,236.04,SILLAKKUDI,14.06,Uttangal Mangalam,63.88,Karaikal Port,77.49,ICD Salem,129.69,Petrapole ICP,1666.46,Tiruchirappalli International Airport (TRZ),56.04,MMLP Coimbatore,240.47,Aluva Terminal,324.15,FCI Depot Tiruchirappalli,55.12
Ayyur (Kanguli) RF,ARIYALUR,616,"636430
",village,81,14.75,716B,203.42,ICHCHANGADU,12.87,Uttangal Mangalam,24.34,Karaikal Port,72.33,ICD Salem,134.26,Petrapole ICP,1626.93,Tiruchirappalli International Airport (TRZ),93.01,MMLP Chennai (Mappedu),207.98,Aluva Terminal,355.03,FCI Depot Tiruchirappalli,91.54
Illuppaiyur,ARIYALUR,616,636454,village,136,9.18,716B,214.06,OTTAKOVIL,1.45,Uttangal Mangalam,47.32,Karaikal Port,85.85,ICD Salem,116.94,Petrapole ICP,1650.15,Tiruchirappalli International Airport (TRZ),68.36,MMLP Chennai (Mappedu),227.08,Aluva Terminal,329.33,FCI Depot Tiruchirappalli,66.67
OLAIYUR,ARIYALUR,616,636333,village,532,11.26,716B,196.25,TALANALLUR,9.13,Uttangal Mangalam,19.16,Karaikal Port,78.27,ICD Salem,130.74,Petrapole ICP,1622.35,Tiruchirappalli International Airport (TRZ),96.62,MMLP Chennai (Mappedu),201.89,Aluva Terminal,356.06,FCI Depot Tiruchirappalli,94.99
Pitchanur,ARIYALUR,616,636375,village,81,2.78,716B,215.91,KUTRALAM,23.75,Uttangal Mangalam,33.67,Karaikal Port,58.0,ICD Salem,146.61,Petrapole ICP,1630.66,Tiruchirappalli International Airport (TRZ),93.37,MMLP Chennai (Mappedu),216.31,Aluva Terminal,359.71,FCI Depot Tiruchirappalli,92.31
Periyathirukonam,ARIYALUR,616,636474,village,81,4.9,716B,232.97,SILLAKKUDI,15.23,Uttangal Mangalam,59.85,Karaikal Port,75.35,ICD Salem,130.32,Petrapole ICP,1662.34,Tiruchirappalli International Airport (TRZ),60.0,MMLP Chennai (Mappedu),242.88,Aluva Terminal,327.71,FCI Depot Tiruchirappalli,59.02
Ayanathur,ARIYALUR,616,636459,village,81,5.13,716B,221.24,OTTAKOVIL,9.76,Uttangal Mangalam,49.45,Karaikal Port,78.07,ICD Salem,125.04,Petrapole ICP,1652.56,Tiruchirappalli International Airport (TRZ),67.38,MMLP Chennai (Mappedu),231.67,Aluva Terminal,332.01,FCI Depot Tiruchirappalli,66.01
Pilichikuzihi,ARIYALUR,616,636396,village,81,4.25,716B,223.44,SENDURAI,20.34,Uttangal Mangalam,43.96,Karaikal Port,62.65,ICD Salem,140.12,Petrapole ICP,1644.05,Tiruchirappalli International Airport (TRZ),79.68,MMLP Chennai (Mappedu),227.71,Aluva Terminal,346.81,FCI Depot Tiruchirappalli,78.68
Vilandai (South),ARIYALUR,616,636345,village,36,11.7,716B,204.89,ICHCHANGADU,19.4,Uttangal Mangalam,23.14,Karaikal Port,66.91,ICD Salem,140.81,Petrapole ICP,1623.53,Tiruchirappalli International Airport (TRZ),97.6,MMLP Chennai (Mappedu),206.66,Aluva Terminal,360.96,FCI Depot Tiruchirappalli,96.26
Udayanatham (East),ARIYALUR,616,636391,village,36,3.36,716B,224.61,NARASINGAMPET,16.89,Uttangal Mangalam,42.51,Karaikal Port,53.49,ICD Salem,149.49,Petrapole ICP,1638.01,Tiruchirappalli International Airport (TRZ),88.55,MMLP Chennai (Mappedu),224.95,Aluva Terminal,356.54,FCI Depot Tiruchirappalli,87.71
Uliyankudi,ARIYALUR,616,636417,village,81,4.55,716B,229.43,SUNDARAPERUMAL KOVIL,17.98,Uttangal Mangalam,53.27,Karaikal Port,69.07,ICD Salem,134.82,Petrapole ICP,1654.9,Tiruchirappalli International Airport (TRZ),68.29,MMLP Chennai (Mappedu),236.87,Aluva Terminal,335.92,FCI Depot Tiruchirappalli,67.33
Alvoy R.F,ARIYALUR,616,636447,village,81,8.9,716B,233.48,SUNDARAPERUMAL KOVIL,13.64,Uttangal Mangalam,56.32,Karaikal Port,66.33,ICD Salem,138.32,Petrapole ICP,1657.04,Tiruchirappalli International Airport (TRZ),67.91,MMLP Chennai (Mappedu),240.08,Aluva Terminal,336.43,FCI Depot Tiruchirappalli,67.12
VARANAVASI,ARIYALUR,616,636468,village,136,0.38,716B,228.46,SILLAKKUDI,4.5,Uttangal Mangalam,61.47,Karaikal Port,86.12,ICD Salem,119.41,Petrapole ICP,1664.65,Tiruchirappalli International Airport (TRZ),54.67,MMLP Coimbatore,233.22,Aluva Terminal,319.64,FCI Depot Tiruchirappalli,53.26
Pappakudi (North),ARIYALUR,616,636350,village,36,1.31,716B,209.66,VALLAMPADUGAI,25.42,Uttangal Mangalam,26.96,Karaikal Port,57.63,ICD Salem,151.19,Petrapole ICP,1620.3,Tiruchirappalli International Airport (TRZ),103.59,MMLP Chennai (Mappedu),207.24,Aluva Terminal,369.08,FCI Depot Tiruchirappalli,102.46
Kovil Esanai  (West),ARIYALUR,616,636504,village,81,7.45,716B,246.66,KALLAKKUDI PLGH,6.53,Uttangal Mangalam,81.08,Karaikal Port,92.68,ICD Salem,123.1,Petrapole ICP,1684.25,Tiruchirappalli International Airport (TRZ),36.97,MMLP Coimbatore,224.7,Aluva Terminal,305.74,FCI Depot Tiruchirappalli,36.12
VILANGUDI,ARIYALUR,616,636461,village,81,1.0,716B,226.81,ARIYALUR,15.29,Uttangal Mangalam,52.61,Karaikal Port,73.36,ICD Salem,130.34,Petrapole ICP,1655.13,Tiruchirappalli International Airport (TRZ),66.5,MMLP Chennai (Mappedu),235.76,Aluva Terminal,333.14,FCI Depot Tiruchirappalli,65.37
Kilimangalam,ARIYALUR,616,636332,village,81,4.95,716B,220.91,VELLUR HALT,10.34,Uttangal Mangalam,48.09,Karaikal Port,76.41,ICD Salem,126.58,Petrapole ICP,1651.12,Tiruchirappalli International Airport (TRZ),69.09,MMLP Chennai (Mappedu),230.65,Aluva Terminal,333.94,FCI Depot Tiruchirappalli,67.76
PILAKURICHI,ARIYALUR,616,636325,village,81,7.06,716B,214.42,SENDURAI,9.4,Uttangal Mangalam,38.98,Karaikal Port,73.35,ICD Salem,129.62,Petrapole ICP,1641.84,Tiruchirappalli International Airport (TRZ),78.38,MMLP Chennai (Mappedu),222.08,Aluva Terminal,342.31,FCI Depot Tiruchirappalli,77.01
