village,district,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Badolia,Basti,179855,village,RAMGHAT HALT,14.32,ICD Lucknow,137.69,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,751.36,Chaudhary Charan Singh International Airport (LKO),143.65,Sunauli ICP,128.91
Parsaunda,Basti,179720,village,GAUR,13.2,ICD Lucknow,153.25,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,738.57,Lal Bahadur Shastri International Airport (VNS),150.04,Sunauli ICP,116.63
Ekdangi Khurd,Basti,179701,village,GAUR,14.32,ICD Lucknow,149.68,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,741.66,Lal Bahadur Shastri International Airport (VNS),151.31,Sunauli ICP,119.2
Kaulpur,Basti,179764,village,RAMGHAT HALT,7.92,ICD Lucknow,131.26,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,756.69,Chaudhary Charan Singh International Airport (LKO),137.24,Sunauli ICP,134.18
Bahadurpur,Basti,179297,village,GAUR,3.16,ICD Lucknow,158.87,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,743.71,Lal Bahadur Shastri International Airport (VNS),164.03,Sunauli ICP,103.24
Gaura Panday,Basti,178982,village,BAHMAN JYOTIA,3.95,ICD Lucknow,141.94,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,756.94,Chaudhary Charan Singh International Airport (LKO),148.84,Sunauli ICP,117.92
Ranipur Lad,Basti,180083,village,ULNA BHARI,13.54,ICD Lucknow,144.78,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,740.32,Lal Bahadur Shastri International Airport (VNS),143.46,Sunauli ICP,129.6
Changerwa,Basti,180834,village,ORWARA,10.55,ICD Lucknow,181.78,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,710.52,Lal Bahadur Shastri International Airport (VNS),136.6,Sunauli ICP,103.48
Pure Sahan,Basti,180162,village,TINICH,20.23,ICD Lucknow,156.64,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,730.95,Lal Bahadur Shastri International Airport (VNS),140.71,Sunauli ICP,120.23
Subraha,Basti,180084,village,ULNA BHARI,14.17,ICD Lucknow,145.49,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,739.8,Lal Bahadur Shastri International Airport (VNS),143.36,Sunauli ICP,128.96
Bhelwal,Basti,181125,village,BASTI,10.69,ICD Lucknow,175.33,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,716.38,Lal Bahadur Shastri International Airport (VNS),138.41,Sunauli ICP,106.49
Chakia Urf Parewa,Basti,181497,village,MUNDERWA,13.82,ICD Lucknow,184.66,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,705.88,Lal Bahadur Shastri International Airport (VNS),132.13,Sunauli ICP,105.5
Dofara,Basti,180356,village,BASTI,22.86,ICD Lucknow,162.44,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,723.73,Lal Bahadur Shastri International Airport (VNS),134.74,Sunauli ICP,119.85
Kamhriya,Basti,181310,village,BASTI,18.94,ICD Lucknow,168.72,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,718.62,Lal Bahadur Shastri International Airport (VNS),133.56,Sunauli ICP,115.58
Sujawalpur,Basti,181308,village,BASTI,18.45,ICD Lucknow,169.7,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,717.83,Lal Bahadur Shastri International Airport (VNS),133.41,Sunauli ICP,114.94
Niranjanpur,Basti,181164,village,BASTI,16.16,ICD Lucknow,177.92,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,711.21,Lal Bahadur Shastri International Airport (VNS),132.43,Sunauli ICP,109.66
