state,district,district_code,pop_2011,is_island,target_port,road_distance_km,road_cost_per_ton_inr,rail_cost_per_ton_inr,dfc_cost_per_ton_inr,optimal_mode,modal_shift_savings_inr,modal_shift_savings_pct,break_even_distance_km,road_drive_time_hours
Assam,DIMA HASAO,315.0,208267,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1376.6,5191.8,3450.6,,Conventional Rail,1741.2,33.5,380.0,19.86
Assam,GOALPARA,302.0,929871,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,895.7,3427.0,2380.6,,Conventional Rail,1046.4,30.5,380.0,12.92
Assam,GOLAGHAT,313.0,989342,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1323.6,4998.0,3366.9,,Conventional Rail,1631.1,32.6,380.0,19.19
Assam,HAILAKANDI,318.0,638555,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1345.6,5078.1,3401.6,,Conventional Rail,1676.4,33.0,380.0,19.42
Assam,HOJAI,720.0,1004841,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1188.5,4501.4,3153.5,,Conventional Rail,1347.9,29.9,380.0,17.13
Assam,JORHAT,312.0,661885,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1329.8,5020.1,3376.7,,Conventional Rail,1643.5,32.7,380.0,19.2
Assam,KAMRUP METRO,322.0,938849,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1042.1,3964.4,2747.5,,Conventional Rail,1216.8,30.7,380.0,15.05
Assam,KAMRUP RURAL,321.0,1739069,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,984.3,3753.2,2734.8,,Conventional Rail,1018.5,27.1,380.0,14.35
Assam,KARBI ANGLONG,314.0,655159,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1251.7,4733.7,3253.3,,Conventional Rail,1480.4,31.3,380.0,18.1
Assam,KOKRAJHAR,300.0,891372,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,764.2,2945.0,2442.7,,Conventional Rail,502.3,17.1,380.0,11.1
Assam,LAKHIMPUR,307.0,1020821,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1886.4,7062.9,4255.8,,Conventional Rail,2807.0,39.7,380.0,27.25
Assam,MAJULI,707.0,442902,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1704.0,6393.7,3967.7,,Conventional Rail,2425.9,37.9,380.0,24.64
Assam,MARIGAON,304.0,884980,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1111.6,4220.6,3032.0,,Conventional Rail,1188.6,28.2,380.0,16.21
