state,district,sub_district,sub_district_code,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Karnataka,Udupi,Hebri,6758,BARKUR,31.49,ICD Mangalore (Panambur),62.87,New Mangalore Port,63.02,Mangaluru International Airport (IXE),57.14,Rupaidiha ICP,1743.24
Karnataka,Udupi,Kapu,6743,PADUBIDRI,3.73,ICD Mangalore (Panambur),29.75,New Mangalore Port,28.93,Mangaluru International Airport (IXE),26.55,Rupaidiha ICP,1780.46
Karnataka,Udupi,Karkala,5524,NANDIKUR,24.79,ICD Mangalore (Panambur),39.39,New Mangalore Port,39.73,Mangaluru International Airport (IXE),33.45,Rupaidiha ICP,1766.92
Karnataka,Udupi,Kundapura,5522,KUNDAPURA,12.41,ICD Mangalore (Panambur),81.45,New Mangalore Port,80.88,Mangaluru International Airport (IXE),77.11,Rupaidiha ICP,1730.34
Karnataka,Udupi,Udupi,5523,UDUPI,5.46,ICD Mangalore (Panambur),48.09,New Mangalore Port,47.44,Mangaluru International Airport (IXE),44.09,Rupaidiha ICP,1762.24
Karnataka,Uttara Kannada,Ankola,5484,ANKOLA,12.96,ICD Mangalore (Panambur),200.58,Mormugao Port,104.96,Mangaluru International Airport (IXE),197.15,Rupaidiha ICP,1640.28
Karnataka,Uttara Kannada,Bhatkal,5488,CHITRAPUR HALT,5.64,ICD Mangalore (Panambur),126.22,New Mangalore Port,125.28,Mangaluru International Airport (IXE),122.85,Rupaidiha ICP,1701.23
Karnataka,Uttara Kannada,Dandelli,6823,TAVARGATTI,19.23,ICD Mangalore (Panambur),256.36,Mormugao Port,92.96,Mangaluru International Airport (IXE),252.22,Rupaidiha ICP,1576.79
Karnataka,Uttara Kannada,Haliyal,5480,ALNAVAR JN,20.38,ICD Mangalore (Panambur),256.29,Mormugao Port,108.49,Mangaluru International Airport (IXE),251.87,Rupaidiha ICP,1569.71
Karnataka,Uttara Kannada,Honnavar,5487,MANKI,13.92,ICD Mangalore (Panambur),152.02,Mormugao Port,150.77,Mangaluru International Airport (IXE),148.48,Rupaidiha ICP,1677.67
Karnataka,Uttara Kannada,Karwar,5478,KARWAR,15.08,ICD Mangalore (Panambur),224.2,Mormugao Port,79.94,Mangaluru International Airport (IXE),220.99,Rupaidiha ICP,1627.05
Karnataka,Uttara Kannada,Kumta,5485,KUMTA,7.73,ICD Mangalore (Panambur),176.41,Mormugao Port,126.17,Mangaluru International Airport (IXE),173.03,Rupaidiha ICP,1660.71
Karnataka,Uttara Kannada,Mundgod,5482,KALSUR,43.72,ICD Mangalore (Panambur),217.83,Mormugao Port,140.07,Mangaluru International Airport (IXE),213.01,Rupaidiha ICP,1597.67
Karnataka,Uttara Kannada,Siddapur,5486,Talguppa,22.13,ICD Mangalore (Panambur),161.53,Mormugao Port,156.49,Mangaluru International Airport (IXE),157.16,Rupaidiha ICP,1656.92
Karnataka,Uttara Kannada,Sirsi,5483,KUMTA,48.16,ICD Mangalore (Panambur),190.76,Mormugao Port,137.42,Mangaluru International Airport (IXE),186.34,Rupaidiha ICP,1629.49
Karnataka,Uttara Kannada,Supa,5479,DUDH SAGAR WATER FALLS,19.92,ICD Mangalore (Panambur),255.23,Mormugao Port,75.21,Mangaluru International Airport (IXE),251.48,Rupaidiha ICP,1587.85
Karnataka,Uttara Kannada,Yellapur,5481,BHISTENHATTI,51.53,ICD Mangalore (Panambur),223.38,Mormugao Port,111.81,Mangaluru International Airport (IXE),219.14,Rupaidiha ICP,1603.4
Karnataka,Vijayanagara,Hagaribommanahalli,5497,Kotturu,28.69,ICD Whitefield,277.96,Mormugao Port,256.84,Kempegowda International Airport (BLR),264.66,Rupaidiha ICP,1533.89
Karnataka,Vijayanagara,Harapanahalli,5510,AMRAVATHI COLONY,26.77,ICD Mangalore (Panambur),231.53,New Mangalore Port,232.02,Mangaluru International Airport (IXE),225.37,Rupaidiha ICP,1579.75
