village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Dakshin Charilam,Sepahijala,653,272072,village,8,0.61,Belghoria Expressway,310.88,Agartala,17.9,Bihara,199.38,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,321.69,ICD Amingaon,279.39,Agartala ICP (Akhaura),25.49,Lokpriya Gopinath Bordoloi International Airport (GAU),270.32,MMLP Silchar,196.04,Karimganj Terminal,170.27,FCI Depot Agartala,21.98
Dhariathal,Sepahijala,653,272069,village,8,3.44,Belghoria Expressway,307.8,Agartala,19.57,Bihara,202.57,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,318.59,ICD Amingaon,281.67,Agartala ICP (Akhaura),28.35,Lokpriya Gopinath Bordoloi International Airport (GAU),272.53,MMLP Silchar,199.26,Karimganj Terminal,173.39,FCI Depot Agartala,23.8
Gajaria,Sepahijala,653,272065,village,8;44,6.38,Belghoria Expressway,303.43,Agartala,16.58,Bihara,204.02,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,314.36,ICD Amingaon,278.76,Agartala ICP (Akhaura),28.49,Lokpriya Gopinath Bordoloi International Airport (GAU),269.43,MMLP Silchar,201.28,Karimganj Terminal,174.16,FCI Depot Agartala,20.88
Ghaniamara,Sepahijala,653,272055,village,8;44,2.67,Belghoria Expressway,307.1,Agartala,12.85,Bihara,199.88,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,318.07,ICD Amingaon,275.26,Agartala ICP (Akhaura),24.34,Lokpriya Gopinath Bordoloi International Airport (GAU),266.0,MMLP Silchar,197.17,Karimganj Terminal,170.0,FCI Depot Agartala,17.18
Kaiyadhepa,Sepahijala,653,272052,village,8,5.98,Belghoria Expressway,303.27,Agartala,13.48,Bihara,202.35,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,314.31,ICD Amingaon,274.87,Agartala ICP (Akhaura),26.77,Lokpriya Gopinath Bordoloi International Airport (GAU),265.47,MMLP Silchar,199.96,Karimganj Terminal,172.09,FCI Depot Agartala,17.6
Kamalasagar,Sepahijala,653,272047,village,8,9.89,Belghoria Expressway,301.65,Agartala,12.54,Bihara,201.52,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,312.84,ICD Amingaon,270.12,Agartala ICP (Akhaura),27.08,Lokpriya Gopinath Bordoloi International Airport (GAU),260.58,MMLP Silchar,199.69,Karimganj Terminal,170.66,FCI Depot Agartala,15.64
Debipur,Sepahijala,653,272048,village,8,7.18,Belghoria Expressway,304.16,Agartala,10.23,Bihara,199.49,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,315.33,ICD Amingaon,269.62,Agartala ICP (Akhaura),24.65,Lokpriya Gopinath Bordoloi International Airport (GAU),260.16,MMLP Silchar,197.52,Karimganj Terminal,168.8,FCI Depot Agartala,13.69
Konaban,Sepahijala,653,272050,village,8,7.55,Belghoria Expressway,302.31,Agartala,12.78,Bihara,202.11,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,313.42,ICD Amingaon,272.76,Agartala ICP (Akhaura),26.88,Lokpriya Gopinath Bordoloi International Airport (GAU),263.29,MMLP Silchar,199.99,Karimganj Terminal,171.57,FCI Depot Agartala,16.53
Krishna Kishore Nagar,Sepahijala,653,272064,village,8;44,3.51,Belghoria Expressway,306.38,Agartala,15.1,Bihara,201.43,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,317.31,ICD Amingaon,277.51,Agartala ICP (Akhaura),26.06,Lokpriya Gopinath Bordoloi International Airport (GAU),268.27,MMLP Silchar,198.58,Karimganj Terminal,171.72,FCI Depot Agartala,19.42
Madhupur,Sepahijala,653,272051,village,8,5.1,Belghoria Expressway,305.66,Agartala,9.37,Bihara,198.68,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,316.79,ICD Amingaon,270.26,Agartala ICP (Akhaura),23.43,Lokpriya Gopinath Bordoloi International Airport (GAU),260.87,MMLP Silchar,196.53,Karimganj Terminal,168.18,FCI Depot Agartala,13.26
Nehal Chandra Nagar,Sepahijala,653,272053,village,8,2.37,Belghoria Expressway,307.26,Agartala,9.55,Bihara,198.13,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,318.33,ICD Amingaon,271.64,Agartala ICP (Akhaura),22.54,Lokpriya Gopinath Bordoloi International Airport (GAU),262.32,MMLP Silchar,195.74,Karimganj Terminal,167.91,FCI Depot Agartala,13.8
Padmanagar,Sepahijala,653,272074,village,8,2.3,Belghoria Expressway,313.61,Agartala,23.63,Bihara,199.84,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,324.28,ICD Amingaon,283.52,Agartala ICP (Akhaura),28.68,Lokpriya Gopinath Bordoloi International Airport (GAU),274.61,MMLP Silchar,195.97,Karimganj Terminal,171.42,FCI Depot Agartala,27.45
Purathal Rajnagar,Sepahijala,653,272054,village,8,4.85,Belghoria Expressway,304.55,Agartala,13.65,Bihara,201.81,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,315.55,ICD Amingaon,275.67,Agartala ICP (Akhaura),26.19,Lokpriya Gopinath Bordoloi International Airport (GAU),266.33,MMLP Silchar,199.26,Karimganj Terminal,171.75,FCI Depot Agartala,17.9
Radhanagar,Sepahijala,653,272049,village,8,9.83,Belghoria Expressway,300.19,Agartala,14.5,Bihara,203.8,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,311.32,ICD Amingaon,273.18,Agartala ICP (Akhaura),28.81,Lokpriya Gopinath Bordoloi International Airport (GAU),263.65,MMLP Silchar,201.8,Karimganj Terminal,173.12,FCI Depot Agartala,18.0
Ramnagar,Sepahijala,653,272070,village,8,6.16,Belghoria Expressway,306.15,Agartala,22.23,Bihara,205.08,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,316.88,ICD Amingaon,284.43,Agartala ICP (Akhaura),31.11,Lokpriya Gopinath Bordoloi International Airport (GAU),275.28,MMLP Silchar,201.67,Karimganj Terminal,176.02,FCI Depot Agartala,26.49
Rangamala,Sepahijala,653,272071,village,8,3.99,Belghoria Expressway,308.66,Agartala,21.72,Bihara,202.97,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,319.38,ICD Amingaon,283.48,Agartala ICP (Akhaura),29.56,Lokpriya Gopinath Bordoloi International Airport (GAU),274.4,MMLP Silchar,199.45,Karimganj Terminal,174.05,FCI Depot Agartala,25.89
Rangapania,Sepahijala,653,272067,village,8,5.93,Belghoria Expressway,304.28,Agartala,19.66,Bihara,205.08,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,315.1,ICD Amingaon,282.08,Agartala ICP (Akhaura),30.11,Lokpriya Gopinath Bordoloi International Airport (GAU),272.83,MMLP Silchar,202.0,Karimganj Terminal,175.61,FCI Depot Agartala,23.99
Sutarmura,Sepahijala,653,272068,village,8,6.26,Belghoria Expressway,304.73,Agartala,21.26,Bihara,205.59,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,315.5,ICD Amingaon,283.64,Agartala ICP (Akhaura),31.03,Lokpriya Gopinath Bordoloi International Airport (GAU),274.43,MMLP Silchar,202.34,Karimganj Terminal,176.31,FCI Depot Agartala,25.56
Bishalgarh,Sepahijala,653,272056,village,8,0.79,Belghoria Expressway,309.84,Agartala,11.82,Bihara,197.46,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,320.81,ICD Amingaon,274.1,Agartala ICP (Akhaura),22.08,Lokpriya Gopinath Bordoloi International Airport (GAU),264.91,MMLP Silchar,194.66,Karimganj Terminal,167.73,FCI Depot Agartala,16.08
Laxmibil,Sepahijala,653,272058,village,8,1.1,Belghoria Expressway,311.84,Agartala,11.45,Bihara,195.71,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,322.81,ICD Amingaon,273.28,Agartala ICP (Akhaura),20.51,Lokpriya Gopinath Bordoloi International Airport (GAU),264.16,MMLP Silchar,192.82,Karimganj Terminal,166.08,FCI Depot Agartala,15.56
