village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
ROLYAN,BAGESHWAR,63,051276,village,RAMNAGAR,74.69,Dhamora,144.56,Dahej Port,1132.67,ICD Moradabad,143.54,Rupaidiha ICP,237.54,Indira Gandhi International Airport (DEL),279.44,MMLP Sangrur,351.64,Varanasi Multi-Modal Terminal,606.93,FCI Depot Dehradun,147.39
PINGLON,BAGESHWAR,63,051293,village,RAMNAGAR,74.41,Dhamora,143.36,Dahej Port,1132.77,ICD Moradabad,143.16,Rupaidiha ICP,234.0,Indira Gandhi International Airport (DEL),280.66,MMLP Sangrur,354.69,Varanasi Multi-Modal Terminal,603.53,FCI Depot Dehradun,150.72
THAN DANGOLI,BAGESHWAR,63,051316,village,KATHGODAM,72.39,Dhamora,142.3,Dahej Port,1133.61,ICD Moradabad,143.43,Rupaidiha ICP,228.65,Indira Gandhi International Airport (DEL),283.25,MMLP Sangrur,359.78,Varanasi Multi-Modal Terminal,598.48,FCI Depot Dehradun,156.13
CHARNA,BAGESHWAR,63,051322,village,KATHGODAM,73.0,Dhamora,143.44,Dahej Port,1135.28,ICD Moradabad,144.97,Rupaidiha ICP,227.49,Indira Gandhi International Airport (DEL),285.29,MMLP Sangrur,361.88,Varanasi Multi-Modal Terminal,597.62,FCI Depot Dehradun,158.09
LOHA GARI,BAGESHWAR,63,051299,village,RAMNAGAR,71.8,Dhamora,140.4,Dahej Port,1130.28,ICD Moradabad,140.48,Rupaidiha ICP,231.87,Indira Gandhi International Airport (DEL),278.89,MMLP Sangrur,354.85,Varanasi Multi-Modal Terminal,601.08,FCI Depot Dehradun,151.41
KAUSHANI,BAGESHWAR,63,051460,village,KATHGODAM,72.37,Dhamora,144.26,Dahej Port,1137.8,ICD Moradabad,147.15,Rupaidiha ICP,222.44,Indira Gandhi International Airport (DEL),289.52,MMLP Sangrur,367.87,Varanasi Multi-Modal Terminal,593.1,FCI Depot Dehradun,164.15
MANDALSERA,BAGESHWAR,63,051459,village,KATHGODAM,77.19,Dhamora,149.17,Dahej Port,1142.51,ICD Moradabad,151.92,Rupaidiha ICP,224.64,Indira Gandhi International Airport (DEL),293.48,MMLP Sangrur,369.32,Varanasi Multi-Modal Terminal,595.85,FCI Depot Dehradun,164.84
SIRKOTE,BAGESHWAR,63,051458,village,KATHGODAM,72.98,Dhamora,143.66,Dahej Port,1135.76,ICD Moradabad,145.39,Rupaidiha ICP,226.79,Indira Gandhi International Airport (DEL),286.01,MMLP Sangrur,362.8,Varanasi Multi-Modal Terminal,597.01,FCI Depot Dehradun,159.01
PATALI,BAGESHWAR,63,051452,village,KATHGODAM,66.38,Dhamora,137.24,Dahej Port,1130.1,ICD Moradabad,139.52,Rupaidiha ICP,222.64,Indira Gandhi International Airport (DEL),281.83,MMLP Sangrur,362.56,Varanasi Multi-Modal Terminal,592.13,FCI Depot Dehradun,159.95
MATHRON,BAGESHWAR,63,051448,village,KATHGODAM,66.32,Dhamora,136.65,Dahej Port,1128.96,ICD Moradabad,138.48,Rupaidiha ICP,224.11,Indira Gandhi International Airport (DEL),280.21,MMLP Sangrur,360.58,Varanasi Multi-Modal Terminal,593.36,FCI Depot Dehradun,158.03
