district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
PHALODI,761,20.45,23.28,22.207621550591327,60.44678055190539,95.79500657030223,121.86,121.95,0.0,0.0,0.0,501.37,498.81,0.0,0.0,0.0,334.32,334.19,0.0,0.0,0.0,477.75,479.92,0.0,0.0,0.0,330.13,329.92,0.0,0.0,0.0,468.35,469.96,0.0,0.0,0.0,1050.68,1050.09,0.0,0.0,0.0,110.24,116.78,0.0,0.0,0.0,897461.0
PRATAPGARH,1023,29.08,29.06,2.834799608993157,38.70967741935484,96.7741935483871,251.81,255.19,0.0,0.0,0.0,328.87,332.54,0.0,0.0,0.0,181.65,181.58,0.0,0.0,0.0,773.66,772.58,0.0,0.0,0.0,179.38,179.68,0.0,0.0,0.0,183.08,183.8,0.0,0.0,0.0,832.65,834.85,0.0,0.0,0.0,140.3,140.39,0.0,0.0,0.0,897461.0
RAJSAMAND,1063,11.78,13.33,43.555973659454374,88.42897460018816,100.0,235.41,228.21,0.0,0.0,0.0,399.87,403.89,0.0,0.0,0.0,243.32,240.48,0.0,0.0,0.0,652.59,647.08,0.0,0.0,0.0,241.99,239.56,0.0,0.0,0.0,334.55,335.08,0.0,0.0,0.0,897.73,898.56,0.0,0.0,0.0,142.34,142.6,0.0,0.0,0.0,1071283.0
SALUMBAR,605,14.33,15.27,31.40495867768595,86.2809917355372,100.0,217.19,218.24,0.0,0.0,0.0,305.48,307.51,0.0,0.0,0.0,185.95,187.0,0.0,0.0,0.0,757.72,757.75,0.0,0.0,0.0,182.71,183.86,0.0,0.0,0.0,242.27,242.7,0.0,0.0,0.0,896.61,896.68,0.0,0.0,0.0,186.23,185.64,0.0,0.0,0.0,2330313.0
SAWAI MADHOPUR,833,11.15,12.24,46.0984393757503,92.79711884753901,100.0,148.67,147.37,0.0,0.0,0.0,628.96,631.27,0.0,0.0,0.0,85.89,87.76,0.0,0.0,0.9603841536614646,516.96,515.96,0.0,0.0,0.0,91.66,93.5,0.0,0.0,0.0,387.87,384.97,0.0,0.0,0.0,648.51,648.57,0.0,0.0,0.0,94.43,94.95,0.0,0.0,0.0,1319482.0
SIKAR,1217,9.61,11.45,51.60230073952342,93.09778142974527,100.0,146.76,144.04,0.0,0.0,0.0,698.57,698.58,0.0,0.0,0.0,95.86,104.39,0.0,0.0,0.0,391.26,388.32,0.0,0.0,0.0,98.98,103.49,0.0,0.0,0.0,293.64,291.92,0.0,0.0,0.0,789.41,789.33,0.0,0.0,0.0,89.82,94.45,0.0,0.0,0.16433853738701726,2692344.0
SIROHI,512,15.850000000000001,15.77,33.3984375,79.6875,100.0,185.26,189.23,0.0,0.0,0.0,311.83,313.22,0.0,0.0,0.0,178.29500000000002,181.63,0.0,0.0,0.0,720.7950000000001,717.18,0.0,0.0,0.0,178.125,181.25,0.0,0.0,0.0,372.845,373.56,0.0,0.0,0.0,1009.995,1012.04,0.0,0.0,0.0,162.115,157.76,0.0,0.0,0.0,1030215.0
TONK,1216,30.39,30.38,15.953947368421053,42.84539473684211,84.45723684210526,198.165,196.09,0.0,0.0,0.0,577.4649999999999,578.34,0.0,0.0,0.0,78.89,76.05,0.0,0.0,18.009868421052634,552.175,550.76,0.0,0.0,0.0,82.01,80.05,0.0,0.0,13.486842105263158,370.625,372.15,0.0,0.0,0.0,717.755,719.18,0.0,0.0,0.0,76.845,75.88,0.0,0.0,2.384868421052632,1407991.0
UDAIPUR,1919,18.06,18.68,31.422615945805106,66.33663366336634,100.0,214.22,210.55,0.0,0.0,0.0,329.83,322.01,0.0,0.0,0.0,193.29,186.47,0.0,0.0,0.0,725.45,729.12,0.0,0.0,0.0,191.3,184.19,0.0,0.0,0.0,295.1,295.26,0.0,0.0,0.0,937.78,930.59,0.0,0.0,0.0,174.07,171.2,0.0,0.0,0.0,2330313.0
__STATE__,46814,,18.468980958495845,33.641645661554236,70.49386935532105,93.89712479172897,,157.93026496535063,0.05767505447088478,0.4186781731960525,2.396718930234545,,557.5858378481123,0.0,0.0,0.0,,162.59580528635195,0.20720297346947494,1.67471269278421,6.090058529499722,,521.3969946754239,0.0,0.0,0.0,,171.43464602513873,0.09612509078480796,0.9997009441620028,4.1504678087751525,,330.6699318099519,0.0,0.0,0.0,,828.6783175293513,0.0,0.0,0.0,,114.49823954609734,0.1068056564275644,1.8712351006109282,8.029649250224292,72048930.0
