village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
Unnamed,NICOBARS,638,,village,4,354.95,Chitoor-Thatchur Expressway,1545.3,KOTABOMMALI,1463.44,Paradeep,1475.45,Paradip Port,1469.84,ICD Chennai (Tondiarpet),1497.31,Zorinpui ICP,1598.85,Visakhapatnam International Airport (VTZ),1476.92,MMLP Visakhapatnam,1474.87,Paradip Terminal,1469.84,FCI Depot Visakhapatnam,1474.87,Srikakulam Toll Plaza,1468.75
Unnamed,NICOBARS,638,,village,4,355.02,Chitoor-Thatchur Expressway,1545.32,KOTABOMMALI,1463.48,Paradeep,1475.51,Paradip Port,1469.89,ICD Chennai (Tondiarpet),1497.33,Zorinpui ICP,1598.92,Visakhapatnam International Airport (VTZ),1476.96,MMLP Visakhapatnam,1474.91,Paradip Terminal,1469.89,FCI Depot Visakhapatnam,1474.91,Srikakulam Toll Plaza,1468.8
Unnamed,NICOBARS,638,,village,4,365.47,Chitoor-Thatchur Expressway,1602.17,KOTABOMMALI,1502.13,Paradeep,1502.91,Paradip Port,1497.03,ICD Bhubaneswar,1544.96,Zorinpui ICP,1597.87,Visakhapatnam International Airport (VTZ),1519.76,MMLP Visakhapatnam,1517.81,Paradip Terminal,1497.03,FCI Depot Visakhapatnam,1517.81,Srikakulam Toll Plaza,1507.77
Beadnabad (RV),SOUTH ANDAMANS,640,,village,4,3.92,Acharya Jagadish Chandra Bose Flyover,1284.71,Paradip,1152.37,Paradeep,1152.78,Paradip Port,1146.42,ICD Bhubaneswar,1199.85,Zorinpui ICP,1248.93,Biju Patnaik International Airport (BBI),1199.05,MMLP Visakhapatnam,1218.54,Paradip Terminal,1146.42,FCI Depot Bhubaneswar,1203.05,Srikakulam Toll Plaza,1185.66
WALKER,NICOBARS,638,,village,4,555.28,Chitoor-Thatchur Expressway,1707.51,VELANKANNI,1623.07,Tondiarpet Marshalling Yard,1659.23,Karaikal Port,1629.58,ICD Chennai (Tondiarpet),1659.23,Zorinpui ICP,1787.64,Chennai International Airport (MAA),1665.53,MMLP Visakhapatnam,1673.38,Paradip Terminal,1677.69,FCI Depot Chennai,1659.17,CHENGALPATTU Toll Plaza,1649.23
Boat Rock,NICOBARS,638,,village,4,541.01,Chitoor-Thatchur Expressway,1709.83,VELANKANNI,1628.88,Tondiarpet Marshalling Yard,1661.57,Karaikal Port,1635.08,ICD Chennai (Tondiarpet),1661.57,Zorinpui ICP,1770.48,Chennai International Airport (MAA),1668.11,MMLP Visakhapatnam,1668.2,Paradip Terminal,1667.1,FCI Depot Chennai,1661.58,CHENGALPATTU Toll Plaza,1652.29
UNNAMED ROCK,NICOBARS,638,,village,4,539.05,Chitoor-Thatchur Expressway,1708.3,VELANKANNI,1627.58,Tondiarpet Marshalling Yard,1660.04,Karaikal Port,1633.76,ICD Chennai (Tondiarpet),1660.04,Zorinpui ICP,1768.62,Chennai International Airport (MAA),1666.59,MMLP Visakhapatnam,1666.33,Paradip Terminal,1665.12,FCI Depot Chennai,1660.06,CHENGALPATTU Toll Plaza,1650.81
Snake Rock,NICOBARS,638,,village,4,539.07,Chitoor-Thatchur Expressway,1708.42,VELANKANNI,1627.72,Tondiarpet Marshalling Yard,1660.17,Karaikal Port,1633.89,ICD Chennai (Tondiarpet),1660.17,Zorinpui ICP,1768.61,Chennai International Airport (MAA),1666.72,MMLP Visakhapatnam,1666.41,Paradip Terminal,1665.17,FCI Depot Chennai,1660.18,CHENGALPATTU Toll Plaza,1650.94
UNNAMED ROCK,NICOBARS,638,,village,4,538.76,Chitoor-Thatchur Expressway,1708.13,VELANKANNI,1627.46,Tondiarpet Marshalling Yard,1659.88,Karaikal Port,1633.63,ICD Chennai (Tondiarpet),1659.88,Zorinpui ICP,1768.34,Chennai International Airport (MAA),1666.43,MMLP Visakhapatnam,1666.09,Paradip Terminal,1664.85,FCI Depot Chennai,1659.89,CHENGALPATTU Toll Plaza,1650.65
Cerberus Rock,NICOBARS,638,,village,4,535.37,Chitoor-Thatchur Expressway,1706.38,VELANKANNI,1626.23,Tondiarpet Marshalling Yard,1658.13,Karaikal Port,1632.35,ICD Chennai (Tondiarpet),1658.13,Zorinpui ICP,1764.88,Chennai International Airport (MAA),1664.72,MMLP Visakhapatnam,1663.41,Paradip Terminal,1661.68,FCI Depot Chennai,1658.16,CHENGALPATTU Toll Plaza,1649.01
UNNAMED ROCK,NICOBARS,638,,village,4,534.86,Chitoor-Thatchur Expressway,1706.22,VELANKANNI,1626.17,Tondiarpet Marshalling Yard,1657.97,Karaikal Port,1632.28,ICD Chennai (Tondiarpet),1657.97,Zorinpui ICP,1764.32,Chennai International Airport (MAA),1664.57,MMLP Visakhapatnam,1663.07,Paradip Terminal,1661.22,FCI Depot Chennai,1658.0,CHENGALPATTU Toll Plaza,1648.87
Cone Rock,NICOBARS,638,,village,4,534.82,Chitoor-Thatchur Expressway,1706.14,VELANKANNI,1626.08,Tondiarpet Marshalling Yard,1657.89,Karaikal Port,1632.19,ICD Chennai (Tondiarpet),1657.89,Zorinpui ICP,1764.3,Chennai International Airport (MAA),1664.48,MMLP Visakhapatnam,1663.0,Paradip Terminal,1661.17,FCI Depot Chennai,1657.92,CHENGALPATTU Toll Plaza,1648.79
Paul Rock,NICOBARS,638,,village,4,532.75,Chitoor-Thatchur Expressway,1705.35,VELANKANNI,1625.65,Tondiarpet Marshalling Yard,1657.11,Karaikal Port,1631.73,ICD Chennai (Tondiarpet),1657.11,Zorinpui ICP,1762.1,Visakhapatnam International Airport (VTZ),1663.66,MMLP Visakhapatnam,1661.54,Paradip Terminal,1659.3,FCI Depot Chennai,1657.14,"ECR Toll Plaze, Kovalam",1648.07
Ashker Rock,NICOBARS,638,,village,4,532.56,Chitoor-Thatchur Expressway,1705.15,VELANKANNI,1625.46,Tondiarpet Marshalling Yard,1656.9,Karaikal Port,1631.53,ICD Chennai (Tondiarpet),1656.9,Zorinpui ICP,1761.95,Visakhapatnam International Airport (VTZ),1663.45,MMLP Visakhapatnam,1661.32,Paradip Terminal,1659.1,FCI Depot Chennai,1656.93,"ECR Toll Plaze, Kovalam",1647.87
Arora Rock,NICOBARS,638,,village,4,530.35,Chitoor-Thatchur Expressway,1702.5,VELANKANNI,1622.95,Tondiarpet Marshalling Yard,1654.25,Karaikal Port,1629.01,ICD Chennai (Tondiarpet),1654.25,Zorinpui ICP,1760.12,Visakhapatnam International Airport (VTZ),1660.76,MMLP Visakhapatnam,1658.63,Paradip Terminal,1656.61,FCI Depot Chennai,1654.29,"ECR Toll Plaze, Kovalam",1645.23
PIGEON ISLAND,NICOBARS,638,,village,4,524.28,Chitoor-Thatchur Expressway,1697.61,VELANKANNI,1618.77,Tondiarpet Marshalling Yard,1649.37,Karaikal Port,1624.76,ICD Chennai (Tondiarpet),1649.37,Zorinpui ICP,1754.42,Visakhapatnam International Airport (VTZ),1654.86,MMLP Visakhapatnam,1652.74,Paradip Terminal,1650.44,FCI Depot Chennai,1649.42,"ECR Toll Plaze, Kovalam",1640.44
KONDUL I,NICOBARS,638,645163,village,4,503.72,Chitoor-Thatchur Expressway,1671.23,VELANKANNI,1593.52,Tondiarpet Marshalling Yard,1623.0,Karaikal Port,1599.37,ICD Chennai (Tondiarpet),1623.0,Zorinpui ICP,1737.75,Visakhapatnam International Airport (VTZ),1628.61,MMLP Visakhapatnam,1626.48,Paradip Terminal,1626.62,FCI Depot Chennai,1623.06,"ECR Toll Plaze, Kovalam",1614.18
Kabra Island,NICOBARS,638,,village,4,499.78,Chitoor-Thatchur Expressway,1681.16,VELANKANNI,1605.62,Paradeep,1632.12,Karaikal Port,1611.28,ICD Chennai (Tondiarpet),1632.94,Zorinpui ICP,1730.57,Visakhapatnam International Airport (VTZ),1633.05,MMLP Visakhapatnam,1630.95,Paradip Terminal,1626.4,FCI Depot Visakhapatnam,1630.95,"ECR Toll Plaze, Kovalam",1624.43
