village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Valigonda,YADADRI BHUVANAGIRI,697,576741,village,930P,0.84,Solapur–Chennai Economic Corridor,203.82,VANIGONDA,0.78,Vishnupuram,98.14,Krishnapatnam Port,361.83,ICD Hyderabad (Sanathnagar),57.68,Petrapole ICP,1184.75,Rajiv Gandhi International Airport (HYD),63.18,MMLP Hyderabad,55.32,Vedadri Terminal,145.42,FCI Depot Hyderabad,55.32
Gangapur-P-Arrur,YADADRI BHUVANAGIRI,697,576746,village,930P,2.43,Solapur–Chennai Economic Corridor,211.97,VANIGONDA,10.2,Vishnupuram,92.43,Krishnapatnam Port,359.3,ICD Hyderabad (Sanathnagar),67.08,Petrapole ICP,1176.47,Rajiv Gandhi International Airport (HYD),72.63,MMLP Hyderabad,64.87,Vedadri Terminal,136.78,FCI Depot Hyderabad,64.87
Pillai Palle,YADADRI BHUVANAGIRI,697,576802,village,65,6.66,Solapur–Chennai Economic Corridor,181.28,GHATKESAR,12.0,Vishnupuram,118.41,Krishnapatnam Port,371.43,ICD Hyderabad (Sanathnagar),30.39,Sunauli ICP,1196.06,Rajiv Gandhi International Airport (HYD),36.21,MMLP Hyderabad,27.26,Vedadri Terminal,171.69,FCI Depot Hyderabad,27.26
Danthur,YADADRI BHUVANAGIRI,697,576815,village,65,9.46,Solapur–Chennai Economic Corridor,189.88,NAGIREDDIPALLI,11.28,Vishnupuram,107.12,Krishnapatnam Port,364.55,ICD Hyderabad (Sanathnagar),43.29,Sunauli ICP,1193.12,Rajiv Gandhi International Airport (HYD),47.67,MMLP Hyderabad,40.25,Vedadri Terminal,158.83,FCI Depot Hyderabad,40.25
Chimiryala,YADADRI BHUVANAGIRI,697,577137,village,65,6.63,Solapur–Chennai Economic Corridor,182.66,RAMANNAPET,22.13,Vishnupuram,93.88,Krishnapatnam Port,347.25,ICD Hyderabad (Sanathnagar),53.55,Petrapole ICP,1205.8,Rajiv Gandhi International Airport (HYD),49.71,MMLP Hyderabad,48.54,Vedadri Terminal,150.9,FCI Depot Hyderabad,48.54
Allapuram,YADADRI BHUVANAGIRI,697,576827,village,65,5.51,Solapur–Chennai Economic Corridor,177.58,MAMDAPUR,24.52,Vishnupuram,102.26,Krishnapatnam Port,353.1,ICD Hyderabad (Sanathnagar),45.19,Sunauli ICP,1208.18,Rajiv Gandhi International Airport (HYD),41.4,MMLP Hyderabad,40.0,Vedadri Terminal,159.45,FCI Depot Hyderabad,40.0
Gokaram,YADADRI BHUVANAGIRI,697,576738,village,930P,5.23,Solapur–Chennai Economic Corridor,198.02,MAMDAPUR,4.85,Vishnupuram,98.73,Krishnapatnam Port,360.02,ICD Hyderabad (Sanathnagar),53.86,Sunauli ICP,1189.82,Rajiv Gandhi International Airport (HYD),57.94,MMLP Hyderabad,50.98,Vedadri Terminal,148.46,FCI Depot Hyderabad,50.98
Laxmapur,YADADRI BHUVANAGIRI,697,576848,village,930P,6.2,Solapur–Chennai Economic Corridor,211.35,RAMANNAPET,7.58,Vishnupuram,88.56,Krishnapatnam Port,355.35,ICD Hyderabad (Sanathnagar),69.27,Petrapole ICP,1177.09,Rajiv Gandhi International Airport (HYD),73.59,MMLP Hyderabad,66.7,Vedadri Terminal,133.84,FCI Depot Hyderabad,66.7
Ibrahimpuram,YADADRI BHUVANAGIRI,697,576482,village,163,14.92,Solapur–Chennai Economic Corridor,215.26,WANGAPALLI,15.4,Uppalvai,100.26,Krishnapatnam Port,398.39,ICD Hyderabad (Sanathnagar),49.91,Sunauli ICP,1158.66,Rajiv Gandhi International Airport (HYD),68.21,MMLP Hyderabad,52.47,Vedadri Terminal,172.78,FCI Depot Hyderabad,52.47
Vasalamarri,YADADRI BHUVANAGIRI,697,576485,village,202,19.05,Solapur–Chennai Economic Corridor,209.03,BHONGIR,19.16,Uppalvai,96.36,Krishnapatnam Port,400.5,ICD Hyderabad (Sanathnagar),42.63,Sunauli ICP,1162.52,Rajiv Gandhi International Airport (HYD),62.23,MMLP Hyderabad,45.79,Vedadri Terminal,179.5,FCI Depot Hyderabad,45.79
