state,district,district_code,drive_hours_to_deendayal_(kandla),drive_hours_to_mumbai,drive_hours_to_jawaharlal_nehru_(jnpt/navi_mumbai),drive_hours_to_mormugao,drive_hours_to_new_mangalore,drive_hours_to_cochin,drive_hours_to_v.o._chidambaranar_(tuticorin),drive_hours_to_chennai,drive_hours_to_kamarajar_(ennore),drive_hours_to_visakhapatnam,drive_hours_to_paradip,drive_hours_to_kolkata_(syama_prasad_mookerjee)_incl._haldia_dock_complex
Rajasthan,AJMER,119.0,10.2,15.4,16.22,26.94,28.5,36.53,38.84,30.46,30.58,27.4,27.08,26.24
Rajasthan,ALWAR,104.0,13.81,19.03,19.85,30.0,31.56,38.65,40.97,32.59,32.71,29.45,26.5,25.06
Rajasthan,BALOTRA,785.0,6.15,15.31,16.13,26.85,28.41,36.58,38.89,33.97,34.09,31.69,31.38,30.38
Rajasthan,BANSWARA,125.0,11.5,10.13,10.96,21.53,23.09,31.25,33.57,27.96,28.08,28.9,28.6,28.54
Rajasthan,BARAN,128.0,12.74,16.83,17.65,23.54,25.1,32.2,34.51,26.13,26.25,23.07,22.75,22.83
Rajasthan,BARMER,115.0,8.55,17.7,18.52,29.24,30.8,38.97,41.29,36.36,36.48,34.08,33.77,32.77
Rajasthan,BEAWAR,779.0,9.04,14.61,15.43,26.15,27.71,35.88,38.2,31.51,31.63,28.45,28.13,27.14
Rajasthan,BHARATPUR,105.0,15.45,20.66,21.49,29.67,31.22,37.39,39.71,31.33,31.44,25.82,22.87,21.43
Rajasthan,BHILWARA,122.0,9.89,14.03,14.85,25.58,27.13,35.22,37.54,29.16,29.27,26.09,25.78,25.72
Rajasthan,BIKANER,101.0,17.09,22.3,23.13,33.27,34.83,41.93,44.24,35.86,35.98,32.8,30.74,29.3
Rajasthan,BUNDI,121.0,11.62,15.7,16.53,25.14,26.7,33.8,36.11,27.73,27.85,24.67,24.35,24.3
Rajasthan,CHITTAURGARH,126.0,8.55,12.8,13.62,24.34,25.9,34.07,36.39,29.64,29.76,26.58,26.26,26.21
Rajasthan,CHURU,102.0,14.92,20.14,20.96,31.11,32.67,39.76,42.08,33.7,33.82,30.63,28.58,27.14
Rajasthan,DAUSA,109.0,14.06,19.28,20.1,29.3,30.85,37.95,40.27,31.89,32.0,27.18,24.23,22.79
Rajasthan,DEEG,774.0,15.4,20.62,21.44,31.59,33.15,40.24,42.56,34.18,34.3,31.05,28.09,26.65
Rajasthan,DHAULPUR,106.0,16.7,21.21,22.03,30.65,32.21,39.3,41.62,33.24,33.36,29.27,26.87,25.43
Rajasthan,DIDWANA-KUCHAMAN,787.0,16.59,21.81,22.63,32.77,34.33,41.43,43.74,35.36,35.48,32.3,30.24,28.8
Rajasthan,DUNGARPUR,124.0,7.63,10.37,11.2,21.92,23.48,31.65,33.96,29.04,29.15,29.98,30.12,30.07
Rajasthan,GANGANAGAR,99.0,14.85,23.67,24.49,35.21,36.77,44.94,47.25,40.12,40.24,36.46,33.4,31.97
Rajasthan,HANUMANGARH,100.0,10.86,19.67,20.49,31.22,32.77,40.94,43.26,38.3,38.42,34.77,31.71,30.27
Rajasthan,JAIPUR,110.0,11.99,17.21,18.03,28.18,29.74,36.83,39.15,30.77,30.89,27.7,25.8,24.36
Rajasthan,JAISALMER,114.0,21.62,26.84,27.66,37.81,39.37,46.46,48.78,40.4,40.52,37.33,35.28,33.84
Rajasthan,JALOR,116.0,5.97,15.12,15.95,26.67,28.23,36.4,38.71,33.79,33.9,32.93,32.62,31.62
Rajasthan,JHALAWAR,129.0,13.13,17.22,16.62,22.37,23.93,31.03,33.34,24.97,25.08,21.9,21.58,23.25
Rajasthan,JHUNJHUNUN,103.0,15.24,20.45,21.28,31.42,32.98,40.08,42.39,34.01,34.13,30.94,28.89,27.45
Rajasthan,JODHPUR,113.0,7.28,15.17,16.0,26.72,28.28,36.45,38.76,33.8,33.92,30.73,30.42,29.42
Rajasthan,KARAULI,107.0,15.72,20.23,21.06,29.67,31.23,38.33,40.64,32.26,32.38,28.29,25.89,24.45
Rajasthan,KHAIRTHAL-TIJARA,777.0,14.61,19.82,20.65,30.79,32.35,39.45,41.76,33.38,33.5,30.25,27.29,25.86
