census_district_code,state,district,Population,Male,Female,Literate,Workers,Cultivator_Workers,Agricultural_Workers,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
86,Haryana,Gurgaon,1514432,816690,697742,1111116,544716,56046,27097,219200,150120,233402,875531,428101,210307
87,Haryana,Mewat,1089263,571162,518101,454897,289964,104237,55278,41836,22265,12453,790930,186916,110688
88,Haryana,Faridabad,1809733,966110,843623,1272739,579229,27705,29288,282666,178846,259933,1095602,481318,231029
89,Haryana,Palwal,1042708,554497,488211,599796,309563,91506,60685,102626,65963,43780,684189,224043,133913
90,Delhi,North West,3656539,1960922,1695617,2707855,1188545,11433,13289,613393,519808,465677,2138591,1013424,503055
91,Delhi,North,887978,475002,412976,681517,296446,2187,1791,126121,97744,107099,506601,256501,124513
92,Delhi,North East,2241624,1188425,1053199,1611588,661386,2235,2406,341540,212438,122983,1393078,581016,264663
93,Delhi,East,1709346,907500,801846,1352998,579692,1156,3094,267825,235187,246988,948963,497157,262124
94,Delhi,New Delhi,142004,77942,64062,114179,59541,121,275,15942,17742,23934,76076,43913,21773
95,Delhi,Central,582320,307821,274499,442360,207374,597,601,83244,62124,80251,317650,169533,94448
96,Delhi,West,2543243,1356240,1187003,1961179,874320,2952,4358,369114,327114,440295,1399165,732515,408953
97,Delhi,South West,2292958,1246046,1046912,1787689,795352,9733,7753,335645,308513,400800,1296955,683209,308675
98,Delhi,South,2731929,1467428,1264501,2078402,924393,2984,5908,430091,354078,458858,1588001,785085,355602
99,Rajasthan,Ganganagar,1969168,1043340,925828,1193343,912672,268297,230438,163098,105734,104071,1167889,502211,283484
100,Rajasthan,Hanumangarh,1774692,931184,843508,1034136,835260,370452,166833,153628,104087,84185,1058044,453114,242361
101,Rajasthan,Bikaner,2363937,1240801,1123136,1278801,986208,499223,103833,143669,80296,101714,1543867,517271,288165
102,Rajasthan,Churu,2039547,1051446,988101,1149269,902829,572644,87983,161520,100677,77282,1293193,458725,272176
103,Rajasthan,Jhunjhunun,2137045,1095896,1041149,1370360,894649,521692,68878,256621,192240,158936,1298780,494124,330126
