name,code,zone,state,address,longitude,latitude
AKSHAYWAT RAI NAGAR,AYRN,ECR,Bihar,"Vaishali, Bihar",85.31541102290001,25.688767621
Talguppa,TLGP,SWR,Karnataka,"Talaguppa, Karnataka",74.914093,14.214011
Talwandi,TWB,NR,Punjab,"Talwandi Bhai, Punjab",74.92363399999999,30.861364000000002
Theh Qalandar,TQL,NR,Punjab,"State Highway 20, Punjab",74.086947,30.463401
TARIGOPPULA,TGU,SCR,Andhra Pradesh,"Krishna, Andhra Pradesh",80.836307,16.485676
THIVIM,THVM,KR,Goa,"North Goa, Goa",73.87610400000001,15.62955
Tarikere Junction,TKE,SWR,Karnataka,"Tarikere, Karnataka",75.812209,13.710886
THOKUR,TOK,KR,Karnataka,"Mangalore, Karnataka",74.829167,12.963579000000001
TOKKOTTU,TKOT,SR,Karnataka,"Ullal, Karnataka",74.858222,12.818211
THALASSERY,TLY,SR,Kerala,"Kannur, Kerala",75.492987,11.75314
TIRUR,TIR,SR,Kerala,"Malappuram, Kerala",75.92186500000001,10.917757
Taramani,TRMN,SR,Tamil Nadu,"Chennai, Tamil Nadu",80.24008199999999,12.978438
Tangiriapal,TGRL,ECoR,Orissa,"Orissa, Orissa",85.925812,21.164083
Thawe Junction,THE,NER,Bihar,"Gopalganj, Bihar",84.394398,26.438991
Thanesar City,TNDE,NR,Haryana,"Haryana, Haryana",76.824336,29.966374000000002
Titwa,TTW,SECR,Madhya Pradesh,"Lamta, Madhya Pradesh",80.13844220089999,21.9959060669
Tamluk,TMZ,SER,West Bengal,"Tamluk, West Bengal",87.91914399999999,22.275813
Talchhapar,TLC,NWR,Rajasthan,"Sujangarh, Rajasthan",74.487037,27.824805
Thara,THR,NCR,Madhya Pradesh,"State Highway 2, Madhya Pradesh",77.8507402155,26.3568878952
Thalera,THEA,WCR,Rajasthan,"Talera, Rajasthan",75.73774364929999,25.3152769684
ALAI,ALJ,NER,Uttarakhand,"National Highway 74, Uttarakhand",78.932709,29.143805999999998
UNDASA MADHAWPU,UDM,WR,Madhya Pradesh,"State Highway 18, Madhya Pradesh",75.97927499999999,23.087044000000002
TURKI ROAD,TZR,WCR,Madhya Pradesh,"Rewa, Madhya Pradesh",81.11757300000001,24.548879000000003
UPLAI,UPI,CR,Maharashtra,"State Highway 77, Maharashtra",75.642724,18.184369
TALOD,TOD,WR,Gujarat,"Talod, Gujarat",72.94796099999999,23.351347999999998
Bhiwani City,BNWC,NWR,Haryana,"Bhiwani, Haryana",76.1442991,28.825698499999998
THIRUVARUR JN,TVR,SR,Tamil Nadu,"Thiruvarur, Tamil Nadu",79.63389799999999,10.764347
TAPRI JN,TPZ,NR,Uttar Pradesh,"Saharanpur, Uttar Pradesh",77.58327200000001,29.915727999999998
UMBARGAM ROAD,UBR,WR,Gujarat,"Umbergaon, Gujarat",72.79082100000001,20.153499
Tezpore,TZTB,NFR,Assam,"Tezpur, Assam",92.78774656355381,26.617781357717547
UTARLAI,UTL,NWR,Rajasthan,"Barmer, Rajasthan",71.44363799999999,25.788344000000002
Tiruvanmiyur,TYMR,SR,Tamil Nadu,"Chennai, Tamil Nadu",80.25119000000001,12.989302
TIPKAI,TPK,NFR,Assam,"Dhubri, Assam",90.047264,26.295354
TIRUVANNAMALAI,TNM,SR,Tamil Nadu,"Thiruvannamalai, Tamil Nadu",79.077782,12.238103
TIRUPPUVANAM,TVN,SR,Tamil Nadu,"Tiruppuvanam, Tamil Nadu",78.258693,9.821456999999999
