station_name,station_code,zone,division,state,address,latitude,longitude
NORTH PANAKUDI,NPK,SR,TVC,Tamil Nadu,"Panakudi, Tamil Nadu",8.315971,77.582174
AKANAPET,AKE,SCR,HYB,Andhra Pradesh,"Medak, Andhra Pradesh",18.110863,78.39630899999999
NANDAPUR,NDPR,SCR,NED,Maharashtra,"Hingoli, Maharashtra",19.5948820434,77.2376282849
NEW MAL JN,NMZ,NFR,APDJ,West Bengal,"National Highway 31. 03562-255097, West Bengal",26.87368,88.724837
NANDOL DEHEGAM,NHM,WR,AHMEDABAD,Gujarat,"Dehegam, Gujarat",23.17417,72.815845
NEMEM,NEM,SR,TVC,Kerala,"Thiruvananthapuram, Kerala",8.455233,77.009693
Nadauj,NDU,ECR,DNR,Bihar,"Nadaul, Bihar",25.296538788200003,85.0173352112
Rajula City,RJU,WR,BHAVNAGAR,Gujarat,"Distt. Amreli, Gujarat",21.046575,71.45597599999999
Namkhana,NMKA,ER,,West Bengal,"Namkhana, West Bengal",21.772235,88.239558
Nurmahal,NRM,NR,FZR,Punjab,"Philur Nurmahal Rd, Punjab",31.081589,75.601431
New Balarampur Halt,NBPH,ER,,West Bengal,"New Balarampur, West Bengal",24.051233,88.24737400000001
Pali,PALI,NWR,,Rajasthan,"Pali, Rajasthan",28.177004,76.450856
Nagarwara,NWA,SECR,NGP,Madhya Pradesh,"Nainpur, Madhya Pradesh",22.2107198433,80.12340101560001
Neyamatpur,NYM,ECR,,,,24.937206,84.988344
Arunnagar,ARNG,,,,,20.7084913199,79.9789721362
Narnaul,NNL,NWR,JAIPUR,Haryana,"Narnaul, Haryana",28.044396,76.123133
Nagaon,NGAN,NFR,LMG,Assam,"Nagaon, Assam",26.35621199,92.67253075
NAGALWANCHA,NVC,SCR,,Andhra Pradesh,"Jagannadhapuram To Matkepalli Rd, Andhra Pradesh",17.07433,80.228517
NARANJIPUR,NRGR,WR,RATLAM,Madhya Pradesh,"Dewas, Madhya Pradesh",23.0471420904,76.00915947140001
NALLA SOPARA,NSP,WR,,Maharashtra,"Nallasopara station Rd, Maharashtra",19.418238,72.819464
NURPUR ROAD,NUPR,NR,FZR,Punjab,"Nurpur, Punjab",32.281043,75.852903
PALAT POTARAM,PAPM,SCR,,Andhra Pradesh,"National Highway 7, Andhra Pradesh",17.7900915824,78.4544374475
