station_code,station_name,category,zone,division,state,total_passengers,total_revenue,source_url
GPY,GANGAYAPALLE,NSG6,SCR,GTL,Andhra Pradesh,489,29310,https://railway-stations-classification.pages.dev/
GPZ,Gohpur,NSG5,NFR,RNY,Assam,210512,17175925,https://railway-stations-classification.pages.dev/
GQL,GURLA,NSG6,WCR,KOTA,Rajasthan,4561,289960,https://railway-stations-classification.pages.dev/
GQN,Garhani,NSG6,ECR,DDU,Bihar,73049,2383627,https://railway-stations-classification.pages.dev/
GRA,GHARAUNDA,NSG6,NR,DLI,Haryana,298837,7556101,https://railway-stations-classification.pages.dev/
GRB,Garhdhrubeswar,NSG6,SER,ADRA,West Bengal,76237,1333307,https://railway-stations-classification.pages.dev/
GRBL,GARUDABILLI,NSG6,ECoR,WAT,Andhra Pradesh,24423,229689,https://railway-stations-classification.pages.dev/
GRD,GIRIDIH,NSG5,ER,ASN,Jharkhand,625600,15502605,https://railway-stations-classification.pages.dev/
GRE,Gola Road,NSG6,SER,RNC,Jharkhand,54531,1366220,https://railway-stations-classification.pages.dev/
GRF,Gambhiri Road,NSG6,WR,RATLAM,Rajasthan,28851,1351575,https://railway-stations-classification.pages.dev/
GRG,Gowarighat,NSG5,SECR,NGP,Madhya Pradesh,212892,10338595,https://railway-stations-classification.pages.dev/
GRH,Ghorasahan,NSG5,ECR,SPJ,Bihar,325403,16287135,https://railway-stations-classification.pages.dev/
GRHI,GARHI,NSG6,NR,DLI,Haryana,346,7465,https://railway-stations-classification.pages.dev/
GRI,Guriya,NSG6,NWR,AII,Rajasthan,4568,173000,https://railway-stations-classification.pages.dev/
GRJA,Gorinja,NSG6,WR,RAJKOT,Gujarat,1,45,https://railway-stations-classification.pages.dev/
GRKN,GORAKHNATH,NSG6,ECoR,KUR,Odisha,112966,2007915,https://railway-stations-classification.pages.dev/
GRL,Goraul,NSG5,ECR,SEE,Bihar,185678,12977643,https://railway-stations-classification.pages.dev/
GRM,Garhmau,NSG6,NCR,JHS,Uttar Pradesh,7384,354240,https://railway-stations-classification.pages.dev/
GRMA,GHORMARA,NSG6,ER,ASN,Jharkhand,37290,2331825,https://railway-stations-classification.pages.dev/
GRMP,Gangarampur,NSG5,NFR,KIR,West Bengal,296918,39970588,https://railway-stations-classification.pages.dev/
GRMR,GARHI MANIKPUR,NSG5,NR,LKO,Uttar Pradesh,126456,14638015,https://railway-stations-classification.pages.dev/
GRN,GURNAY,NSG6,NR,UMB,Punjab,5764,245865,https://railway-stations-classification.pages.dev/
GRNA,Gurhanwa,NSG6,ECR,SPJ,Bihar,44086,1102400,https://railway-stations-classification.pages.dev/
GRO,GURRA,NSG6,WCR,JBP,Madhya Pradesh,15501,770267,https://railway-stations-classification.pages.dev/
GRRU,Guraru,NSG5,ECR,DDU,Bihar,280791,19046406,https://railway-stations-classification.pages.dev/
GRX,GAURA,NSG6,NR,LKO,Uttar Pradesh,9055,582055,https://railway-stations-classification.pages.dev/
GRY,GORAYA,NSG6,NR,FZR,Punjab,5026,118525,https://railway-stations-classification.pages.dev/
GS,Godhaneswar,NSG6,WR,BHAVNAGAR,Gujarat,12477,277440,https://railway-stations-classification.pages.dev/
GSB,GARNA SAHIB,NSG6,NR,FZR,Punjab,4528,66896,https://railway-stations-classification.pages.dev/
GSD,Ghosunda,NSG6,NWR,AII,Rajasthan,35601,1322000,https://railway-stations-classification.pages.dev/
GSDH,Garsanda,NSG6,ECR,DNR,Bihar,40,1000,https://railway-stations-classification.pages.dev/
GSGB,GOSAINGRAM,NSG6,ER,HWH,West Bengal,26080,606385,https://railway-stations-classification.pages.dev/
GSL,Godapiasal,NSG6,SER,ADRA,West Bengal,70524,1347279,https://railway-stations-classification.pages.dev/
GSO,GHASO,NSG6,NR,DLI,Haryana,8425,315285,https://railway-stations-classification.pages.dev/
GSP,GURDASPUR,NSG5,NR,FZR,Punjab,321847,25975660,https://railway-stations-classification.pages.dev/
GSPR,GOSALPUR,NSG6,WCR,JBP,Madhya Pradesh,45255,2312255,https://railway-stations-classification.pages.dev/
GSR,GARH SHANKAR,NSG6,NR,FZR,Punjab,0,0,https://railway-stations-classification.pages.dev/
GSW,GURUSAR SEHNEWALA,NSG6,,BKN,Punjab,12308,394960,https://railway-stations-classification.pages.dev/
GT,GHATKESAR,NSG5,SCR,SC,Telangana,131285,10281622,https://railway-stations-classification.pages.dev/
GTA,GOLANTHRA,NSG6,ECoR,KUR,Odisha,18177,1214064,https://railway-stations-classification.pages.dev/
GTD,Gourinathdham,NSG6,SER,ADRA,West Bengal,110916,3299845,https://railway-stations-classification.pages.dev/
GTE,Gothaj,NSG6,WR,VADODARA,Gujarat,76500,509916,https://railway-stations-classification.pages.dev/
GTF,GUMTHAL,NSG6,NR,MB,Uttar Pradesh,23693,908435,https://railway-stations-classification.pages.dev/
GTI,Ghutai,NSG6,NCR,JHS,Uttar Pradesh,51843,2061105,https://railway-stations-classification.pages.dev/
GTJT,GETOR JAGATPURA,NSG5,NWR,JAIPUR,Rajasthan,518819,35588413,https://railway-stations-classification.pages.dev/
GTK,Ghutku,NSG6,SECR,BSP,Chhattisgarh,9349,359738,https://railway-stations-classification.pages.dev/
GTL,GUNTAKAL Jn,NSG3,SCR,GTL,Andhra Pradesh,2384128,507914659,https://railway-stations-classification.pages.dev/
GTLM,GOTLAM,NSG6,ECoR,WAT,Andhra Pradesh,1677,63380,https://railway-stations-classification.pages.dev/
GTM,Ghatampur,NSG5,NCR,JHS,Uttar Pradesh,284686,19967231,https://railway-stations-classification.pages.dev/
GTNR,Gomti nagar,NSG3,NER,LJN,Uttar Pradesh,923521,299684539,https://railway-stations-classification.pages.dev/
GTP,Ghatpuri,NSG6,NER,IZN,Uttar Pradesh,129469,3246690,https://railway-stations-classification.pages.dev/
GTS,Ghatsila,NSG4,SER,KGP,Jharkhand,918368,59609338,https://railway-stations-classification.pages.dev/
GTST,Gautam Sthan,NSG6,NER,BSB,Uttar Pradesh,42320,1442465,https://railway-stations-classification.pages.dev/
GTU,GHATNANDUR,NSG6,SCR,SC,Maharashtra,33365,2036211,https://railway-stations-classification.pages.dev/
GTW,Gatora,NSG6,SECR,BSP,Chhattisgarh,29700,1052600,https://railway-stations-classification.pages.dev/
GTX,Gothangam,NSG6,WR,VADODARA,Gujarat,20568,347945,https://railway-stations-classification.pages.dev/
GUA,GUA,NSG6,SER,CKP,Jharkhand,7328,347243,https://railway-stations-classification.pages.dev/
GUB,Gularbhoj,NSG6,NER,IZN,Uttar Pradesh,212169,4396400,https://railway-stations-classification.pages.dev/
GUD,Galudih,NSG6,SER,KGP,Jharkhand,147686,2146790,https://railway-stations-classification.pages.dev/
GUG,Garhjaipur,NSG6,SER,ADRA,West Bengal,191020,5618659,https://railway-stations-classification.pages.dev/
GUH,GULDHAR,NSG6,NR,DLI,Uttar Pradesh,80066,833217,https://railway-stations-classification.pages.dev/
GULR,GULER,NSG6,NR,FZR,Himachal Pradesh,17575,447859,https://railway-stations-classification.pages.dev/
GUMI,Gorumahisani,NSG6,SER,CKP,Odisha,53855,814445,https://railway-stations-classification.pages.dev/
GUNA,GUNA,NSG4,WCR,BPL,Madhya Pradesh,1539703,192129259,https://railway-stations-classification.pages.dev/
GUP,Gauripur,NSG6,NFR,APDJ,Assam,66136,7239660,https://railway-stations-classification.pages.dev/
GUR,GANAGAPUR ROAD,NSG5,CR,SUR,Karnataka,385675,49039121,https://railway-stations-classification.pages.dev/
GUU,GUNDRATIMADUGU,NSG6,SCR,SC,Telangana,5162,190569,https://railway-stations-classification.pages.dev/
GUV,Guruvayur,NSG4,SR,TVC,Kerala,1138258,111252019,https://railway-stations-classification.pages.dev/
GUZ,Gumanihat,NSG6,NFR,APDJ,West Bengal,2027,90710,https://railway-stations-classification.pages.dev/
GVB,GUNERU BAMORI,NSG6,WCR,BPL,Madhya Pradesh,5127,262840,https://railway-stations-classification.pages.dev/
GVD,Gholvad,NSG6,WR,MUMBAI,Maharashtra,507019,7575142,https://railway-stations-classification.pages.dev/
GVG,MANDI GOBIND GARH,NSG5,NR,UMB,Punjab,102978,20945763,https://railway-stations-classification.pages.dev/
GVH,GOVINDGARH,NSG6,NCR,AGC,Rajasthan,119400,5736959,https://railway-stations-classification.pages.dev/
GVI,GARIVIDI,NSG6,ECoR,WAT,Andhra Pradesh,32610,1227003,https://railway-stations-classification.pages.dev/
GVL,GUDLAVALLERU,NSG5,SCR,BZA,Andhra Pradesh,170171,10085460,https://railway-stations-classification.pages.dev/
GVMR,GOVINDI MARWAR,NSG6,NWR,JU,Rajasthan,1547,68220,https://railway-stations-classification.pages.dev/
GVN,GODAVARI,NSG6,SCR,BZA,Andhra Pradesh,112323,5149202,https://railway-stations-classification.pages.dev/
GVR,Goreswar,NSG6,NFR,RNY,Assam,204239,5247806,https://railway-stations-classification.pages.dev/
GW,GIRWAR,NSG6,WCR,JBP,Madhya Pradesh,20499,1156799,https://railway-stations-classification.pages.dev/
GWA,Gangdundwara,NSG5,NER,IZN,Uttar Pradesh,938217,39972094,https://railway-stations-classification.pages.dev/
GWD,GADWAL,NSG5,SCR,HYB,Telangana,1157592,98428362,https://railway-stations-classification.pages.dev/
GWH,Ghoswar,NSG6,ECR,SEE,Bihar,13241,178995,https://railway-stations-classification.pages.dev/
GWL,Gwalior Jn,NSG2,NCR,JHS,Madhya Pradesh,9885164,2866230533,https://railway-stations-classification.pages.dev/
